protein_id,cluster
1A32.pdb,1A32.pdb
1AOY.pdb,1AOY.pdb
1F0M.pdb,1F0M.pdb
1GJS.pdb,1GJS.pdb
1GYZ.pdb,1GYZ.pdb
1H92.pdb,1H92.pdb
4HCK.pdb,1H92.pdb
1A0N.pdb_L7S,1H92.pdb
1A0N.pdb_V55A,1H92.pdb
1SRM.pdb,1H92.pdb
2L2P.pdb,1H92.pdb
2LP5.pdb,1H92.pdb
3CQT.pdb,1H92.pdb
5ECA.pdb_W37A,1H92.pdb
1QLY.pdb,1H92.pdb
1GL5.pdb,1H92.pdb
6NMW.pdb,1H92.pdb
5ECA.pdb_P51S,1H92.pdb
1I2T.pdb,1I2T.pdb
1IFY.pdb,1IFY.pdb
1JIC.pdb,1JIC.pdb
P13123,1JIC.pdb
P39476,1JIC.pdb
P61991,1JIC.pdb
1K1V.pdb,1K1V.pdb
1O6X.pdb,1O6X.pdb
1ORC.pdb,1ORC.pdb
P03040,1ORC.pdb
1PV0.pdb,1PV0.pdb
1QKH.pdb,1QKH.pdb
1QP2.pdb,1QP2.pdb
1PSE.pdb,1QP2.pdb
1R69.pdb,1R69.pdb
1S1N.pdb_V29A,1S1N.pdb_V29A
1S1N.pdb_F11S,1S1N.pdb_V29A
1SF0.pdb_V59K,1SF0.pdb_V59K
1SIF.pdb_L3A,1SIF.pdb_L3A
1SIF.pdb_F13S,1SIF.pdb_L3A
1UBQ.pdb_I3A,1SIF.pdb_L3A
1UBQ.pdb_L15S,1SIF.pdb_L3A
1UBQ.pdb_L43A,1SIF.pdb_L3A
1UBQ.pdb_L67S,1SIF.pdb_L3A
1TG0.pdb,1TG0.pdb
1TUC.pdb,1TUC.pdb
2KXD.pdb,1TUC.pdb
1TUD.pdb,1TUD.pdb
1UFM.pdb,1UFM.pdb
1URF.pdb,1URF.pdb
1UZC.pdb,1UZC.pdb
1V1C.pdb,1V1C.pdb
1W4F.pdb,1W4F.pdb
1W4G.pdb,1W4F.pdb
1WCL.pdb,1WCL.pdb
1YEZ.pdb_V46S,1YEZ.pdb_V46S
1YP5.pdb,1YP5.pdb
2BTT.pdb,1YP5.pdb
1YRF.pdb,1YRF.pdb
1VII.pdb,1YRF.pdb
1ZHC.pdb,1ZHC.pdb
1ZLM.pdb,1ZLM.pdb
1Y0M.pdb,1ZLM.pdb
2CDT.pdb,2CDT.pdb
1BK2.pdb_F47A,2CDT.pdb
1BK2.pdb_L5S,2CDT.pdb
1E6H.pdb,2CDT.pdb
1H8K.pdb,2CDT.pdb
1H8K.pdb_R44S,2CDT.pdb
1H8K.pdb_W36A,2CDT.pdb
1PWT.pdb,2CDT.pdb
1QKX.pdb,2CDT.pdb
2KR3.pdb,2CDT.pdb
2LJ3.pdb,2CDT.pdb
2ROT.pdb_F60A,2CDT.pdb
2ROT.pdb_W41S,2CDT.pdb
5FWB.pdb_A10S,2CDT.pdb
5FWB.pdb_M24A,2CDT.pdb
6SCW.pdb,2CDT.pdb
2CJJ.pdb,2CJJ.pdb
2D1U.pdb,2D1U.pdb
2EXD.pdb,2EXD.pdb
2GP8.pdb,2GP8.pdb
2HBB.pdb_pross9,2HBB.pdb_pross9
2HBB.pdb,2HBB.pdb_pross9
2HBB.pdb_pross4,2HBB.pdb_pross9
2HBB.pdb_pross6,2HBB.pdb_pross9
2HBB.pdb_pross7,2HBB.pdb_pross9
2JN4.pdb,2JN4.pdb
2JT1.pdb,2JT1.pdb
EHEE_rd2_0372.pdb,EHEE_rd2_0372.pdb
EHEE_rd2_0487.pdb,EHEE_rd2_0372.pdb
EHEE_rd2_1257.pdb,EHEE_rd2_0372.pdb
EHEE_rd2_0601.pdb,EHEE_rd2_0601.pdb
EHEE_rd1_0407.pdb,EHEE_rd2_0601.pdb
EHEE_rd3_0053.pdb,EHEE_rd3_0053.pdb
EHEE_rd2_0751.pdb,EHEE_rd3_0053.pdb
EHEE_rd2_0191.pdb,EHEE_rd3_0053.pdb
EHEE_rd4_0325.pdb,EHEE_rd4_0325.pdb
EHEE_rd4_0864.pdb,EHEE_rd4_0325.pdb
EHEE_rd4_0086.pdb,EHEE_rd4_0325.pdb
EHEE_rd4_0394.pdb,EHEE_rd4_0394.pdb
EHEE_rd4_0098.pdb,EHEE_rd4_0394.pdb
EHEE_rd4_0840.pdb,EHEE_rd4_0394.pdb
EHEE_rd4_0726.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0044.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0195.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0463.pdb,EHEE_rd4_0726.pdb
EHEE_rd3_0035.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0625.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0172.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0502.pdb,EHEE_rd4_0726.pdb
EHEE_rd4_0877.pdb,EHEE_rd4_0726.pdb
GG|run6_0851_0003.pdb,GG|run6_0851_0003.pdb
GG|run4_0284_0002.pdb,GG|run6_0851_0003.pdb
GG|run5_1147_0004.pdb,GG|run6_0851_0003.pdb
EA|run3_0321_0005.pdb,GG|run6_0851_0003.pdb
GG|run6_0775_0006.pdb,GG|run6_0851_0003.pdb
HEEH_KT_rd6_0007.pdb,HEEH_KT_rd6_0007.pdb
HEEH_KT_rd6_0280.pdb,HEEH_KT_rd6_0280.pdb
HEEH_KT_rd6_0746.pdb,HEEH_KT_rd6_0746.pdb
HEEH_KT_rd6_0790.pdb,HEEH_KT_rd6_0790.pdb
HEEH_KT_rd6_0793.pdb,HEEH_KT_rd6_0793.pdb
HEEH_KT_rd6_0872.pdb,HEEH_KT_rd6_0872.pdb
HEEH_KT_rd6_1415.pdb,HEEH_KT_rd6_1415.pdb
HEEH_KT_rd6_3546.pdb,HEEH_KT_rd6_3546.pdb
HEEH_KT_rd6_3632.pdb,HEEH_KT_rd6_3632.pdb
HEEH_rd3_0223.pdb,HEEH_rd3_0223.pdb
HEEH_rd3_0055.pdb,HEEH_rd3_0223.pdb
HEEH_rd4_0094.pdb,HEEH_rd4_0094.pdb
HHH_rd1_0142.pdb,HHH_rd1_0142.pdb
HHH_rd1_0473.pdb,HHH_rd1_0142.pdb
HHH_rd1_0244.pdb,HHH_rd1_0244.pdb
HHH_rd1_0335.pdb,HHH_rd1_0335.pdb
HHH_rd1_0493.pdb,HHH_rd1_0493.pdb
HHH_rd1_0516.pdb,HHH_rd1_0516.pdb
HHH_rd2_0155.pdb,HHH_rd1_0516.pdb
HHH_rd4_0395.pdb,HHH_rd1_0516.pdb
HHH_rd1_0578.pdb,HHH_rd1_0578.pdb
HHH_rd1_0606.pdb,HHH_rd1_0606.pdb
HHH_rd1_0949.pdb,HHH_rd1_0949.pdb
HHH_rd2_0181.pdb,HHH_rd2_0181.pdb
HHH_rd1_0598.pdb,HHH_rd2_0181.pdb
HHH_rd4_0613.pdb,HHH_rd4_0613.pdb
HHH_rd4_0124.pdb,HHH_rd4_0613.pdb
HHH_rd4_0557.pdb,HHH_rd4_0613.pdb
HHH_rd4_0676.pdb,HHH_rd4_0676.pdb
HHH_rd4_0816.pdb,HHH_rd4_0816.pdb
HHH_rd4_0870.pdb,HHH_rd4_0870.pdb
XX|run10_1081_0004.pdb,XX|run10_1081_0004.pdb
EA|run7_1572_0002.pdb,XX|run10_1081_0004.pdb
XX|run8_1098_0003.pdb,XX|run10_1081_0004.pdb
EA|run3_0525_0006.pdb,XX|run10_1081_0004.pdb
GG|run1_1390_0006.pdb,XX|run10_1081_0004.pdb
GG|run2_0085_0001.pdb,XX|run10_1081_0004.pdb
EA|run3_1140_0005.pdb,XX|run10_1081_0004.pdb
GG|run5_1309_0004.pdb,XX|run10_1081_0004.pdb
GG|run4_0467_0002.pdb,XX|run10_1081_0004.pdb
GG|run5_0637_0006.pdb,XX|run10_1081_0004.pdb
XX|run1_0254_0003.pdb,XX|run10_1081_0004.pdb
GG|run6_1310_0004.pdb,XX|run10_1081_0004.pdb
EA|run2_0325_0005.pdb,XX|run10_1081_0004.pdb
XX|run5_1034_0004.pdb,XX|run10_1081_0004.pdb
GG|run3_1365_0003.pdb,XX|run10_1081_0004.pdb
XX|run1_0455_0002.pdb,XX|run10_1081_0004.pdb
EA|run5_0050_0004.pdb,XX|run10_1081_0004.pdb
GG|run3_1315_0003.pdb,XX|run10_1081_0004.pdb
EA|run2_0290_0001.pdb,XX|run10_1081_0004.pdb
XX|run5_0690_0002.pdb,XX|run5_0690_0002.pdb
XX|run6_1020_0004.pdb,XX|run6_1020_0004.pdb
XX|run3_1384_0005.pdb,XX|run6_1020_0004.pdb
XX|run6_1081_0004.pdb,XX|run6_1081_0004.pdb
XX|run8_0733_0006.pdb,XX|run8_0733_0006.pdb
XX|run1_0367_0004.pdb,XX|run8_0733_0006.pdb
XX|run8_1063_0003.pdb,XX|run8_1063_0003.pdb
EA|run6_1429_0006.pdb,XX|run8_1063_0003.pdb
XX|run1_0461_0006.pdb,XX|run8_1063_0003.pdb
XX|run7_0974_0003.pdb,XX|run8_1063_0003.pdb
