protein_id,dataset,cluster,set
1A32.pdb,tsu,1A32.pdb,tsu_test
1AOY.pdb,tsu,1AOY.pdb,tsu_train
1F0M.pdb,tsu,1F0M.pdb,tsu_train
1GJS.pdb,tsu,1GJS.pdb,tsu_train
1GYZ.pdb,tsu,1GYZ.pdb,tsu_train
1H92.pdb,tsu,1H92.pdb,tsu_train
4HCK.pdb,tsu,1H92.pdb,tsu_train
1A0N.pdb_L7S,tsu,1H92.pdb,tsu_train
1A0N.pdb_V55A,tsu,1H92.pdb,tsu_train
1SRM.pdb,tsu,1H92.pdb,tsu_train
2L2P.pdb,tsu,1H92.pdb,tsu_train
2LP5.pdb,tsu,1H92.pdb,tsu_train
3CQT.pdb,tsu,1H92.pdb,tsu_train
5ECA.pdb_W37A,tsu,1H92.pdb,tsu_train
6NMW.pdb,tsu,1H92.pdb,tsu_train
5ECA.pdb_P51S,tsu,1H92.pdb,tsu_train
1I2T.pdb,tsu,1I2T.pdb,tsu_train
1IFY.pdb,tsu,1IFY.pdb,tsu_train
1JIC.pdb,tsu,1JIC.pdb,tsu_train
P13123,fp,1JIC.pdb,fp_finetune
P39476,fp,1JIC.pdb,fp_finetune
P61991,fp,1JIC.pdb,fp_finetune
1K1V.pdb,tsu,1K1V.pdb,tsu_train
1O6X.pdb,tsu,1O6X.pdb,tsu_train
1ORC.pdb,tsu,1ORC.pdb,tsu_train
P03040,fp,1ORC.pdb,fp_finetune
1PV0.pdb,tsu,1PV0.pdb,tsu_train
1QKH.pdb,tsu,1QKH.pdb,tsu_train
1QLY.pdb,tsu,1QLY.pdb,tsu_train
1GL5.pdb,tsu,1QLY.pdb,tsu_train
1QP2.pdb,tsu,1QP2.pdb,tsu_train
1PSE.pdb,tsu,1QP2.pdb,tsu_train
1R69.pdb,tsu,1R69.pdb,tsu_train
1S1N.pdb_V29A,tsu,1S1N.pdb_V29A,tsu_test
1S1N.pdb_F11S,tsu,1S1N.pdb_V29A,tsu_test
1SF0.pdb_V59K,tsu,1SF0.pdb_V59K,tsu_train
1SIF.pdb_L3A,tsu,1SIF.pdb_L3A,tsu_train
1SIF.pdb_F13S,tsu,1SIF.pdb_L3A,tsu_train
1UBQ.pdb_I3A,tsu,1SIF.pdb_L3A,tsu_train
1UBQ.pdb_L15S,tsu,1SIF.pdb_L3A,tsu_train
1UBQ.pdb_L43A,tsu,1SIF.pdb_L3A,tsu_train
1UBQ.pdb_L67S,tsu,1SIF.pdb_L3A,tsu_train
1TG0.pdb,tsu,1TG0.pdb,tsu_train
1TUC.pdb,tsu,1TUC.pdb,tsu_train
2KXD.pdb,tsu,1TUC.pdb,tsu_train
1TUD.pdb,tsu,1TUD.pdb,tsu_train
1UFM.pdb,tsu,1UFM.pdb,tsu_train
1URF.pdb,tsu,1URF.pdb,tsu_train
1UZC.pdb,tsu,1UZC.pdb,tsu_train
1V1C.pdb,tsu,1V1C.pdb,tsu_train
1W4F.pdb,tsu,1W4F.pdb,tsu_train
1W4G.pdb,tsu,1W4F.pdb,tsu_train
1WCL.pdb,tsu,1WCL.pdb,tsu_train
