thr,cond,test,n,pearson,spearman,rmse,mae
30,A_tsu_only,tsu_test,1709,0.7939696823427815,0.7808906168384059,0.572879827011247,0.4204741958111458
30,A_tsu_only,fp_test,254,0.46606956138991085,0.6927721569506,2.132180012361245,1.2482253890872834
30,B_fp_only,tsu_test,1709,0.6804066034440968,0.6421911333312226,0.8008844861944835,0.5811030474694154
30,B_fp_only,fp_test,254,0.47704716546509596,0.6608958117309278,2.0038218316507015,1.0710609366153525
30,D_finetuned,tsu_test,1709,0.7897705345332687,0.7715985687919786,0.5791681630081608,0.4250713837299981
30,D_finetuned,fp_test,254,0.5222599162159967,0.738641432301451,1.9656311215351403,1.0403160103129723
50,A_tsu_only,tsu_test,2640,0.7874767890336378,0.7436583302060066,0.6295504051777328,0.45711382803175943
50,A_tsu_only,fp_test,287,0.5072670926603101,0.6717838484886688,1.9256317220158776,1.1146254737604326
50,B_fp_only,tsu_test,2640,0.6920625100834794,0.6385464879165018,0.8377636860069929,0.6142169271587203
50,B_fp_only,fp_test,287,0.5048112622561383,0.7029504065273483,1.8313700929878491,0.9404654251353196
50,D_finetuned,tsu_test,2640,0.7837453047325755,0.7419730910826237,0.6438428302839149,0.4611716672001173
50,D_finetuned,fp_test,287,0.5278527202153266,0.7155975435879983,1.8027197978275287,0.9402065591209402
90,A_tsu_only,tsu_test,2610,0.7896245748281058,0.7708460170072684,0.6229201576934716,0.4571570065840662
90,A_tsu_only,fp_test,231,0.3550670951503556,0.6575365274588932,1.7751727141600973,0.8881169960283579
90,B_fp_only,tsu_test,2610,0.6783401827074549,0.6481390456638382,0.8874466910070531,0.6507313245626779
90,B_fp_only,fp_test,231,0.2909285711190358,0.634167926540315,1.9974024026252797,0.9608579768164618
90,D_finetuned,tsu_test,2610,0.7780408819830462,0.770616187260445,0.6654842014342447,0.4749155769733101
90,D_finetuned,fp_test,231,0.3426347674040813,0.685931183547332,1.8405723554598454,0.8446325945209101
