quantity,grouping,n_groups,pair_r,pair_r_sd,mean_abs_diff,random_abs_diff,icc
dG_wt,same base structure,39,0.31503376615882006,0.12139440139490949,0.6414545183155386,1.068548809499595,0.8118945543978688
dG_wt,same cluster 90%,42,0.267988225636251,0.09599260764479106,0.6547134434110451,1.0614782625530246,0.9073474685627013
dG_wt,same cluster 50%,56,0.10595790350731989,0.09240163437703507,0.9065971293320746,1.0648990764714232,0.7609693322220038
dG_wt,same cluster 30%,60,0.21108666562244552,0.09245217239203535,0.8819299338769252,1.0634446451909696,0.6311792634465095
offset,same base structure,51,0.09028296823628562,0.24232250652076254,0.21992617273938012,0.30038802618268085,0.7357283634431411
offset,same cluster 90%,42,0.1331368367098222,0.2629338288146135,0.22585313094922974,0.3035674772220925,0.870906900827319
offset,same cluster 50%,61,0.1442476724363384,0.2669321587996158,0.23703249572473553,0.3019988896206546,0.704161088757959
offset,same cluster 30%,63,0.10246278173282196,0.20160543261429945,0.2733491119431,0.3008831734278671,0.5644909949867494
mean_ddg,same base structure,51,0.5157386343083418,0.0798164035111956,0.25298118679320036,0.4203833204340806,0.8123141048067084
mean_ddg,same cluster 90%,42,0.3018933693371662,0.09287690445599178,0.2958839053886984,0.41951534939889273,0.9176929262979058
mean_ddg,same cluster 50%,61,0.4071668077172461,0.10514967073046229,0.2869666657720414,0.41405852133572296,0.7779590655320447
mean_ddg,same cluster 30%,63,0.22385568735023179,0.09822314451736451,0.35086106894681607,0.41663774607712867,0.635057527863021
