corpus,klass,n,delta_mae_sd,lo,hi,significant
S669,->Pro,6,-0.012221810800475352,-0.0416481728303906,0.9334476422143931,False
S669,from Pro,6,0.24760749318727493,0.17098639301288662,0.537315593480181,True
S669,from Gly,12,0.02539916656836161,-0.24004706429028,1.1628418624003078,False
S669,->Gly,55,-0.0006552949212270676,-0.14135968213356914,0.17225588614058848,False
S669,from aromatic (FWY),64,0.11881242994307539,0.0011729300029293902,0.29906552501991723,True
S669,X->Ala,220,-0.101265506389145,-0.1832332634858852,-0.007149959113707545,True
S669,near-isosteric (|dVol|<30),252,0.06470307774358297,-0.006525690681745537,0.13792895921055612,False
FireProt <=500 (filt),->Pro,80,0.09852397737859508,0.048990240906904986,0.7404646929827735,True
FireProt <=500 (filt),from Pro,82,0.09770588354484078,0.009758253806574205,0.2160695965452747,True
FireProt <=500 (filt),from Gly,157,0.08472143428474288,0.006752941458849498,0.24463177086898,True
FireProt <=500 (filt),->Gly,274,-0.05838065313456031,-0.11579570637001332,0.013343664203095856,False
FireProt <=500 (filt),from aromatic (FWY),352,0.015732085880426294,-0.042530685176408144,0.10425251248336952,False
FireProt <=500 (filt),X->Ala,723,0.0037117123029104526,-0.04174925100766921,0.04493619343853118,False
FireProt <=500 (filt),near-isosteric (|dVol|<30),1529,0.06997058102566589,0.028216940705693,0.11298317580995118,True
