loss,metric,mean,lo95,hi95
mse,rho,0.7666054401861152,0.7502367719971955,0.7814900479608606
mse,r,0.7670303733802506,0.721854515843664,0.7966156843497807
mse,mae,0.4659394412038641,0.4516988596076483,0.48154783136818224
mse,stab_rho,0.2634162506728132,0.18697924698034263,0.3496510464216795
mse,stab_bias,0.5818223407192518,0.5353250705248438,0.6378392326733763
mse,auc_stab,0.8518924180885634,0.8322452882457155,0.8698187231416201
mse,detpr30,0.6036666666666666,0.43333333333333335,0.8
bmc,rho,0.7700859682395699,0.7542674424347151,0.7840258330660692
bmc,r,0.7152790369956074,0.5954818776694344,0.7911416938478452
bmc,mae,0.553554092428763,0.5351796665497902,0.5732770182942535
bmc,stab_rho,0.26887704652459904,0.19091126157444727,0.3521317046217601
bmc,stab_bias,0.468958709345513,0.3976021251161126,0.5444733418307323
bmc,auc_stab,0.855381907286058,0.8374401759597536,0.8720143915281842
bmc,detpr30,0.6207499999999999,0.43333333333333335,0.8333333333333334
lds,rho,0.7555036830649784,0.7390555276054083,0.7700156553162553
lds,r,0.7252175460655991,0.6123211250508037,0.7972375378206712
lds,mae,0.489329889274762,0.47254759326714363,0.5071881304637529
lds,stab_rho,0.25583006346208204,0.17489228478548174,0.3346467898255056
lds,stab_bias,0.6019637125535602,0.5429964049926258,0.6693182247072019
lds,auc_stab,0.8414378331460232,0.8221413569395987,0.8597183706884477
lds,detpr30,0.5984999999999999,0.43333333333333335,0.7333333333333333
