loss,ref,metric,mean,lo95,hi95,excludes_zero
bmc,mse,rho,0.003480528053454687,-0.0009059775709105877,0.007727176564680074,False
bmc,mse,r,-0.05175133638464313,-0.1308897571650566,-0.0006462217441363439,True
bmc,mse,mae,0.08761465122489892,0.07595512221565279,0.09995417617706749,True
bmc,mse,stab_rho,0.0054607958517858156,-0.034118588241547405,0.044181822937617715,False
bmc,mse,stab_bias,-0.1128636313737387,-0.1444445750585473,-0.07960691764715092,True
bmc,mse,auc_stab,0.0034894891974945217,-0.004057822003796415,0.010961112473185883,False
bmc,mse,detpr30,0.017083333333333336,-0.1333333333333333,0.16666666666666663,False
lds,mse,rho,-0.011101757121136813,-0.017917296049118545,-0.00477779007501933,True
lds,mse,r,-0.041812827314651385,-0.11612778867629238,0.005008015249987648,False
lds,mse,mae,0.023390448070897903,0.014643586290022626,0.033882302917934884,True
lds,mse,stab_rho,-0.00758618721073117,-0.05699479695874781,0.039801831669145055,False
lds,mse,stab_bias,0.020141371834308478,-0.011410670702419235,0.05243870086799863,False
lds,mse,auc_stab,-0.010454584942540297,-0.02181468365167156,0.0019060253705214622,False
lds,mse,detpr30,-0.005166666666666668,-0.16666666666666674,0.16666666666666663,False
