config,metric,kind,mean,lo,hi,significant
base,r,paired_diff,-0.05469863858314375,-0.09935009882481675,-0.010398576767686102,True
cw,r,paired_diff,0.012782764607464693,-0.011479106465029441,0.032700768108580476,False
cw+far,r,paired_diff,-0.0039022257220789236,-0.018573119793424245,0.013248635637969308,False
base,rho,paired_diff,-0.06467781741495228,-0.11345311129344304,-0.011000040199588928,True
cw,rho,paired_diff,0.014614928032811982,-0.0021615774368206413,0.0295275609579159,False
cw+far,rho,paired_diff,0.008587868708826147,-0.007902587924757122,0.028262838024472194,False
base,mae,paired_diff,0.07334892361353025,0.042100396457680586,0.09574242302517288,True
cw,mae,paired_diff,-0.06536481163839236,-0.09937323800374402,-0.024337798354755774,True
cw+far,mae,paired_diff,-0.0031212817624947454,-0.01823534547185149,0.016729888889435742,False
base,stab_rho,paired_diff,0.024392167460604113,-0.10966220728785432,0.10531771714855594,False
cw,stab_rho,paired_diff,0.03881874359996533,-0.06015393882856821,0.12262008830331846,False
cw+far,stab_rho,paired_diff,0.019409519165627054,-0.09070764358950832,0.11548254246001687,False
base,stab_bias,paired_diff,0.013920193023571012,-0.06414575916725869,0.06604991442373985,False
cw,stab_bias,paired_diff,-0.08508232516058976,-0.1428775525970009,-0.047489830233259006,True
cw+far,stab_bias,paired_diff,-0.08786194452063673,-0.12785042463012736,-0.023784460617116168,True
base,auc_stab,paired_diff,-0.04554208865146929,-0.08081415539051755,-0.0017761849027430586,True
cw,auc_stab,paired_diff,0.011016120823902466,-0.006420407922835343,0.0388022033000621,False
cw+far,auc_stab,paired_diff,0.012669126311352877,-0.005770464591748042,0.039701928915290924,False
base,detpr30,paired_diff,0.0345,-0.16666666666666663,0.2333333333333334,False
cw,detpr30,paired_diff,-0.15916666666666665,-0.33333333333333337,0.033333333333333326,False
cw+far,detpr30,paired_diff,-0.029249999999999995,-0.2,0.134166666666666,False
base,ndcg30,paired_diff,-0.01297329192804336,-0.10576675782106598,0.0671373018845031,False
cw,ndcg30,paired_diff,-0.04169220306158274,-0.12216813524065669,0.030565987842749633,False
cw+far,ndcg30,paired_diff,-0.024291059990719902,-0.1135054002723774,0.05414059427449879,False
dz,r,absolute,0.6491513375372534,0.532208527498073,0.7258499208825305,
base,r,absolute,0.5944526989541097,0.49349416287280495,0.6609882205291507,
cw,r,absolute,0.6619341021447182,0.5454499660903086,0.739446044954022,
cw+far,r,absolute,0.6452491118151745,0.5259989937841287,0.7209340835254572,
dz,rho,absolute,0.6759564976947147,0.6224787716551974,0.7185002456508107,
base,rho,absolute,0.6112786802797625,0.5480887343821365,0.6768140326211203,
cw,rho,absolute,0.6905714257275267,0.6429702803973447,0.7295113403514365,
cw+far,rho,absolute,0.6845443664035409,0.6392664487955037,0.721499432688207,
dz,mae,absolute,0.8276589738513627,0.7377098804493752,0.9270943277313064,
base,mae,absolute,0.9010078974648931,0.8047172290139158,0.997738886570878,
cw,mae,absolute,0.7622941622129704,0.6776196506724983,0.8664777846916282,
cw+far,mae,absolute,0.824537692088868,0.7389742365326809,0.9236628119969086,
dz,stab_rho,absolute,0.07257424702945213,-0.11067522090155413,0.19925809528554486,
base,stab_rho,absolute,0.09696641449005625,-0.141539687745061,0.24059062107992113,
cw,stab_rho,absolute,0.11139299062941746,-0.07902518441130356,0.25009624358565813,
cw+far,stab_rho,absolute,0.09198376619507918,-0.1016609822901172,0.21555645158367487,
dz,stab_bias,absolute,1.2982247052073512,1.0573963826580581,1.6755533326101417,
base,stab_bias,absolute,1.3121448982309223,1.106897178864392,1.646747976521632,
cw,stab_bias,absolute,1.2131423800467613,0.9860132210623119,1.5980998421457697,
cw+far,stab_bias,absolute,1.2103627606867144,0.9542373268326135,1.6028480814495187,
dz,auc_stab,absolute,0.7591695329158148,0.7060944173553628,0.798728862397337,
base,auc_stab,absolute,0.7136274442643458,0.6679253567128894,0.7707063513297884,
cw,auc_stab,absolute,0.7701856537397174,0.7286745615189535,0.8055366602003154,
cw+far,auc_stab,absolute,0.7718386592271678,0.7266426363542909,0.8054381405958787,
dz,detpr30,absolute,0.6081666666666666,0.4,0.8,
base,detpr30,absolute,0.6426666666666666,0.4,0.834166666666666,
cw,detpr30,absolute,0.449,0.23333333333333334,0.6666666666666666,
cw+far,detpr30,absolute,0.5789166666666666,0.36666666666666664,0.8,
dz,ndcg30,absolute,0.20995915009738667,0.10666364109460641,0.39604755253503127,
base,ndcg30,absolute,0.1969858581693433,0.10199402384460539,0.353086963594936,
cw,ndcg30,absolute,0.16826694703580394,0.07813628652628413,0.32545481141250204,
cw+far,ndcg30,absolute,0.18566809010666674,0.09509301491486837,0.3361995889889638,
