config,metric,kind,mean,lo,hi,significant
base,r,paired_diff,-0.13837746193004688,-0.2338377770558775,-0.019409451975499308,True
cw,r,paired_diff,0.007391841151885859,-0.014309713589602898,0.02746850760845196,False
cw+far,r,paired_diff,-0.05672357264644884,-0.09721934230585183,-0.004196686621686959,True
base,rho,paired_diff,-0.19389666796028895,-0.3135328702086581,-0.032709170944733176,True
cw,rho,paired_diff,0.0063646395758758835,-0.017832081046966458,0.025501026259863606,False
cw+far,rho,paired_diff,-0.08929132114347758,-0.15049908767784875,-0.00493987117647025,True
base,mae,paired_diff,0.1718381258115797,0.015725369076713888,0.38523436538468225,True
cw,mae,paired_diff,-0.038585019746032845,-0.06446780855482799,0.0035924011554936642,False
cw+far,mae,paired_diff,0.06998028296353112,-0.017057732534998364,0.17879892057874539,False
base,stab_rho,paired_diff,0.14440618532773947,-0.08251226698345338,0.3034058642307957,False
cw,stab_rho,paired_diff,0.025017824684549394,-0.06738263401229688,0.11727982836405576,False
cw+far,stab_rho,paired_diff,0.10302115745523872,-0.11151708747694132,0.22935158703611333,False
base,stab_bias,paired_diff,0.6050675039949266,0.21632985074839353,0.9508727383036087,True
cw,stab_bias,paired_diff,0.12105396936014788,0.08130196251460099,0.1912023544640793,True
cw+far,stab_bias,paired_diff,0.38171277671477116,0.15292770884499235,0.5819533617732799,True
base,auc_stab,paired_diff,-0.11115205470860019,-0.17527741850962567,-0.007412813279367316,True
cw,auc_stab,paired_diff,-0.0019869787600964943,-0.029581012850366555,0.01791949312228896,False
cw+far,auc_stab,paired_diff,-0.06490617450678701,-0.10516336536683334,0.006307193667150208,False
base,detpr30,paired_diff,-0.01633333333333333,-0.2333333333333334,0.16666666666666674,False
cw,detpr30,paired_diff,-0.07625,-0.29999999999999993,0.2,False
cw+far,detpr30,paired_diff,-0.007583333333333331,-0.2666666666666667,0.23333333333333328,False
base,ndcg30,paired_diff,-0.017132793184969186,-0.10405191410809492,0.048337517301580306,False
cw,ndcg30,paired_diff,-0.015724438089014123,-0.0860172235174721,0.040481796262145174,False
cw+far,ndcg30,paired_diff,0.00573230566618313,-0.08932019737666282,0.0831462292258151,False
dz,r,absolute,0.638418302933375,0.5209865591291707,0.7196104253925597,
base,r,absolute,0.500040841003328,0.4183155025297839,0.6115211143998005,
cw,r,absolute,0.6458101440852607,0.523684619474448,0.7239846595287602,
cw+far,r,absolute,0.5816947302869261,0.4883267586615685,0.6392369977368391,
dz,rho,absolute,0.6570987526511434,0.5986139117230799,0.7021225164355598,
base,rho,absolute,0.4632020846908544,0.3518640726121932,0.6215547893280685,
cw,rho,absolute,0.6634633922270193,0.6002006542760838,0.7081928405944636,
cw+far,rho,absolute,0.5678074315076658,0.5059283671617565,0.6489117193400542,
dz,mae,absolute,0.838094848747067,0.750676117746691,0.9401181306312956,
base,mae,absolute,1.0099329745586467,0.7925654209929571,1.2411786971086005,
cw,mae,absolute,0.7995098290010341,0.7056068626063596,0.9067595496380861,
cw+far,mae,absolute,0.908075131710598,0.7523643731631507,1.0508120965519168,
dz,stab_rho,absolute,0.006961085641772906,-0.12598532636519896,0.1180389688827474,
base,stab_rho,absolute,0.15136727096951236,-0.14995889315041486,0.3466447197635116,
cw,stab_rho,absolute,0.031978910326322295,-0.1188542022282253,0.15832265907578635,
cw+far,stab_rho,absolute,0.10998224309701163,-0.1566696006733585,0.2851769797851493,
dz,stab_bias,absolute,1.3732130137098124,1.0878975790625405,1.8006379349444879,
base,stab_bias,absolute,1.9782805177047391,1.6957170438954081,2.2277474128115484,
cw,stab_bias,absolute,1.49426698306996,1.1897885315987466,1.9380265286610612,
cw+far,stab_bias,absolute,1.7549257904245836,1.5729219695728283,2.0220678147443327,
dz,auc_stab,absolute,0.734789188009207,0.6645837821125076,0.7792007018765323,
base,auc_stab,absolute,0.6236371333006067,0.5583488812782041,0.7163466619165584,
cw,auc_stab,absolute,0.7328022092491103,0.6734521042882025,0.7733108332093552,
cw+far,auc_stab,absolute,0.6698830135024199,0.6258208656202996,0.7249431893886459,
dz,detpr30,absolute,0.6552499999999999,0.4,0.9,
base,detpr30,absolute,0.6389166666666667,0.36666666666666664,0.9,
cw,detpr30,absolute,0.579,0.4,0.8,
cw+far,detpr30,absolute,0.6476666666666666,0.3333333333333333,0.9333333333333333,
dz,ndcg30,absolute,0.22933074650306082,0.11985619127794098,0.3886465619634744,
base,ndcg30,absolute,0.21219795331809166,0.1049923062913568,0.3711738718880146,
cw,ndcg30,absolute,0.2136063084140467,0.1112498100664023,0.36630831143697373,
cw+far,ndcg30,absolute,0.23506305216924395,0.10300783409142,0.41470929160954134,
