config,metric,kind,mean,lo,hi,significant
cw,r,paired_diff,0.07157452697899477,0.010685683304560068,0.1267502747355887,True
cw,rho,paired_diff,0.06287049302678867,0.021351647194053785,0.09953534782663276,True
cw,mae,paired_diff,-0.1247323419508549,-0.16772194281340705,-0.06685291568463136,True
cw,stab_rho,paired_diff,0.0831320257032878,-0.027141657162415036,0.2226804111670977,False
cw,stab_bias,paired_diff,-0.03142994397538623,-0.1091660343510205,0.018421085157592793,False
cw,auc_stab,paired_diff,0.030558903011449035,0.006579769786768679,0.050464415446352974,True
cw,detpr30,paired_diff,-0.12366666666666663,-0.36666666666666664,0.1333333333333333,False
cw,ndcg30,paired_diff,-0.00244572199522223,-0.07943140262052031,0.09677911137840757,False
cw,r,absolute,0.6619341021447182,0.5454499660903086,0.739446044954022,
far,r,absolute,0.5903595751657233,0.488452434257116,0.6542674219312303,
cw,rho,absolute,0.6905714257275267,0.6429702803973447,0.7295113403514365,
far,rho,absolute,0.627700932700738,0.5787332012058471,0.671255176823172,
cw,mae,absolute,0.7622941622129704,0.6776196506724983,0.8664777846916282,
far,mae,absolute,0.8870265041638252,0.7972982610518683,0.9857234722506895,
cw,stab_rho,absolute,0.11139299062941746,-0.07902518441130356,0.25009624358565813,
far,stab_rho,absolute,0.02826096492612966,-0.1609274828990944,0.15049506212485636,
cw,stab_bias,absolute,1.2131423800467613,0.9860132210623119,1.5980998421457697,
far,stab_bias,absolute,1.2445723240221478,0.9915688575048639,1.6360632479518977,
cw,auc_stab,absolute,0.7701856537397174,0.7286745615189535,0.8055366602003154,
far,auc_stab,absolute,0.7396267507282684,0.6972229254034048,0.7821743156760027,
cw,detpr30,absolute,0.449,0.23333333333333334,0.6666666666666666,
far,detpr30,absolute,0.5726666666666667,0.36666666666666664,0.7666666666666667,
cw,ndcg30,absolute,0.16826694703580394,0.07813628652628413,0.32545481141250204,
far,ndcg30,absolute,0.1707126690310262,0.09282975311238925,0.30222798686955943,
