config,metric,kind,mean,lo,hi,significant
cw,r,paired_diff,0.06748140319060844,0.005575274108180529,0.1255452041819744,True
cw+cons,r,paired_diff,0.06735271241338174,0.01761502084955377,0.11857598992691327,True
cons,r,paired_diff,-0.1380385526941749,-0.20642464696796423,-0.07837717884446549,True
cw,rho,paired_diff,0.07929274544776427,0.014862714517890837,0.13364796306164564,True
cw+cons,rho,paired_diff,0.07344761157164671,0.018230106532975528,0.12147035611046059,True
cons,rho,paired_diff,-0.18667881133798547,-0.24993133859432443,-0.13549829771993008,True
cw,mae,paired_diff,-0.13871373525192263,-0.19024980145480902,-0.0717215384449117,True
cw+cons,mae,paired_diff,-0.1274479737578985,-0.16159750869834552,-0.07112830566829019,True
cons,mae,paired_diff,0.07188437006412837,0.03794985844224905,0.11722356685625349,True
cw,stab_rho,paired_diff,0.014426576139361214,-0.08473149852824287,0.15038682332543454,False
cw+cons,stab_rho,paired_diff,-0.028479190290072332,-0.12755216383044543,0.08001910739228446,False
cons,stab_rho,paired_diff,-0.20600317571183324,-0.3804087531588425,0.07289497275884019,False
cw,stab_bias,paired_diff,-0.09900251818416077,-0.14318440221386358,-0.025713074081385023,True
cw+cons,stab_bias,paired_diff,0.04057498651241592,-0.008982116115182936,0.11972405025448614,False
cons,stab_bias,paired_diff,0.20446625721725895,0.10522235952312926,0.3432256275197914,True
cw,auc_stab,paired_diff,0.05655820947537176,0.01632914736455484,0.08600352613306977,True
cw+cons,auc_stab,paired_diff,0.043591913427645984,0.0008332257227271608,0.07154000792288553,True
cons,auc_stab,paired_diff,-0.09944503411790881,-0.1613859948937101,-0.04900142970693756,True
cw,detpr30,paired_diff,-0.19366666666666663,-0.4341666666666667,0.06666666666666665,False
cw+cons,detpr30,paired_diff,-0.19266666666666665,-0.4666666666666666,0.06666666666666665,False
cons,detpr30,paired_diff,-0.21466666666666667,-0.5,0.06666666666666665,False
cw,ndcg30,paired_diff,-0.028718911133539384,-0.12385880627526186,0.07143991903606822,False
cw+cons,ndcg30,paired_diff,-0.05370454573460313,-0.15304373591936057,0.03066890399520189,False
cons,ndcg30,paired_diff,-0.05456785072607742,-0.17338920879451397,0.047992711836941364,False
base,r,absolute,0.5944526989541097,0.49349416287280495,0.6609882205291507,
cw,r,absolute,0.6619341021447182,0.5454499660903086,0.739446044954022,
cw+cons,r,absolute,0.6618054113674913,0.55164356611335,0.7389556678369138,
cons,r,absolute,0.45641414625993476,0.3506060697283051,0.5353222218211817,
base,rho,absolute,0.6112786802797625,0.5480887343821365,0.6768140326211203,
cw,rho,absolute,0.6905714257275267,0.6429702803973447,0.7295113403514365,
cw+cons,rho,absolute,0.6847262918514093,0.6396651866612861,0.7233630528888764,
cons,rho,absolute,0.424599868941777,0.3611042888212849,0.4832213358256255,
base,mae,absolute,0.9010078974648931,0.8047172290139158,0.997738886570878,
cw,mae,absolute,0.7622941622129704,0.6776196506724983,0.8664777846916282,
cw+cons,mae,absolute,0.7735599237069946,0.6884960659098766,0.8639658873125847,
cons,mae,absolute,0.9728922675290214,0.8783536537393497,1.0870992637482964,
base,stab_rho,absolute,0.09696641449005625,-0.141539687745061,0.24059062107992113,
cw,stab_rho,absolute,0.11139299062941746,-0.07902518441130356,0.25009624358565813,
cw+cons,stab_rho,absolute,0.06848722419998392,-0.15172160429114848,0.21524782446812593,
cons,stab_rho,absolute,-0.109036761221777,-0.22571053671482236,0.028868801307256397,
base,stab_bias,absolute,1.3121448982309223,1.106897178864392,1.646747976521632,
cw,stab_bias,absolute,1.2131423800467613,0.9860132210623119,1.5980998421457697,
cw+cons,stab_bias,absolute,1.3527198847433382,1.1359238894172181,1.7281525880660031,
cons,stab_bias,absolute,1.5166111554481814,1.2602936499439548,1.9162797994469396,
base,auc_stab,absolute,0.7136274442643458,0.6679253567128894,0.7707063513297884,
cw,auc_stab,absolute,0.7701856537397174,0.7286745615189535,0.8055366602003154,
cw+cons,auc_stab,absolute,0.7572193576919914,0.7175989569517972,0.7925463180653811,
cons,auc_stab,absolute,0.6141824101464368,0.5608877957073384,0.6532688335205381,
base,detpr30,absolute,0.6426666666666666,0.4,0.834166666666666,
cw,detpr30,absolute,0.449,0.23333333333333334,0.6666666666666666,
cw+cons,detpr30,absolute,0.45,0.23333333333333334,0.6674999999999992,
cons,detpr30,absolute,0.428,0.23333333333333334,0.6666666666666666,
base,ndcg30,absolute,0.1969858581693433,0.10199402384460539,0.353086963594936,
cw,ndcg30,absolute,0.16826694703580394,0.07813628652628413,0.32545481141250204,
cw+cons,ndcg30,absolute,0.14328131243474018,0.06943053716296807,0.27186602378534014,
cons,ndcg30,absolute,0.14241800744326588,0.0622861169498723,0.2773426431767042,
