config,metric,kind,mean,lo,hi,significant
base,r,paired_diff,-0.06748140319060844,-0.1255452041819744,-0.005575274108180536,True
cw+cons,r,paired_diff,-0.00012869077722670443,-0.013853162168434666,0.021012505118179026,False
cons,r,paired_diff,-0.20551995588478333,-0.26931151478082754,-0.11947605878479074,True
base,rho,paired_diff,-0.07929274544776427,-0.13364796306164564,-0.014862714517890837,True
cw+cons,rho,paired_diff,-0.0058451338761175455,-0.017397625206110587,0.010129685088830429,False
cons,rho,paired_diff,-0.2659715567857497,-0.3135272605973223,-0.21364117116145911,True
base,mae,paired_diff,0.13871373525192263,0.07172153844491162,0.190249801454809,True
cw+cons,mae,paired_diff,0.011265761494024123,-0.014517120129603387,0.03474090627646208,False
cons,mae,paired_diff,0.21059810531605097,0.15760276326010464,0.24961516337936843,True
base,stab_rho,paired_diff,-0.014426576139361214,-0.15038682332543457,0.08473149852824285,False
cw+cons,stab_rho,paired_diff,-0.04290576642943354,-0.17151456379707425,0.03268702048765298,False
cons,stab_rho,paired_diff,-0.22042975185119446,-0.39135356328123755,0.0031167806539328354,False
base,stab_bias,paired_diff,0.09900251818416077,0.02571307408138498,0.14318440221386355,True
cw+cons,stab_bias,paired_diff,0.1395775046965767,0.08241156664700026,0.18228644247824824,True
cons,stab_bias,paired_diff,0.3034687754014197,0.217146801343826,0.4399706136428595,True
base,auc_stab,paired_diff,-0.05655820947537176,-0.08600352613306977,-0.016329147364554864,True
cw+cons,auc_stab,paired_diff,-0.012966296047725786,-0.025491767237992596,0.0024784424819524376,False
cons,auc_stab,paired_diff,-0.15600324359328055,-0.20043794917414684,-0.11691904286960518,True
base,detpr30,paired_diff,0.19366666666666663,-0.06666666666666665,0.434166666666666,False
cw+cons,detpr30,paired_diff,0.0009999999999999983,-0.23333333333333334,0.2341666666666659,False
cons,detpr30,paired_diff,-0.021,-0.3,0.26666666666666666,False
base,ndcg30,paired_diff,0.028718911133539384,-0.07143991903606824,0.12385880627526186,False
cw+cons,ndcg30,paired_diff,-0.024985634601063744,-0.11284120641300241,0.039808066798964106,False
cons,ndcg30,paired_diff,-0.025848939592538048,-0.16336940028440902,0.09295840964589061,False
base,r,absolute,0.5944526989541097,0.49349416287280495,0.6609882205291507,
cw,r,absolute,0.6619341021447182,0.5454499660903086,0.739446044954022,
cw+cons,r,absolute,0.6618054113674913,0.55164356611335,0.7389556678369138,
cons,r,absolute,0.45641414625993476,0.3506060697283051,0.5353222218211817,
base,rho,absolute,0.6112786802797625,0.5480887343821365,0.6768140326211203,
cw,rho,absolute,0.6905714257275267,0.6429702803973447,0.7295113403514365,
cw+cons,rho,absolute,0.6847262918514093,0.6396651866612861,0.7233630528888764,
cons,rho,absolute,0.424599868941777,0.3611042888212849,0.4832213358256255,
base,mae,absolute,0.9010078974648931,0.8047172290139158,0.997738886570878,
cw,mae,absolute,0.7622941622129704,0.6776196506724983,0.8664777846916282,
cw+cons,mae,absolute,0.7735599237069946,0.6884960659098766,0.8639658873125847,
cons,mae,absolute,0.9728922675290214,0.8783536537393497,1.0870992637482964,
base,stab_rho,absolute,0.09696641449005625,-0.141539687745061,0.24059062107992113,
cw,stab_rho,absolute,0.11139299062941746,-0.07902518441130356,0.25009624358565813,
cw+cons,stab_rho,absolute,0.06848722419998392,-0.15172160429114848,0.21524782446812593,
cons,stab_rho,absolute,-0.109036761221777,-0.22571053671482236,0.028868801307256397,
base,stab_bias,absolute,1.3121448982309223,1.106897178864392,1.646747976521632,
cw,stab_bias,absolute,1.2131423800467613,0.9860132210623119,1.5980998421457697,
cw+cons,stab_bias,absolute,1.3527198847433382,1.1359238894172181,1.7281525880660031,
cons,stab_bias,absolute,1.5166111554481814,1.2602936499439548,1.9162797994469396,
base,auc_stab,absolute,0.7136274442643458,0.6679253567128894,0.7707063513297884,
cw,auc_stab,absolute,0.7701856537397174,0.7286745615189535,0.8055366602003154,
cw+cons,auc_stab,absolute,0.7572193576919914,0.7175989569517972,0.7925463180653811,
cons,auc_stab,absolute,0.6141824101464368,0.5608877957073384,0.6532688335205381,
base,detpr30,absolute,0.6426666666666666,0.4,0.834166666666666,
cw,detpr30,absolute,0.449,0.23333333333333334,0.6666666666666666,
cw+cons,detpr30,absolute,0.45,0.23333333333333334,0.6674999999999992,
cons,detpr30,absolute,0.428,0.23333333333333334,0.6666666666666666,
base,ndcg30,absolute,0.1969858581693433,0.10199402384460539,0.353086963594936,
cw,ndcg30,absolute,0.16826694703580394,0.07813628652628413,0.32545481141250204,
cw+cons,ndcg30,absolute,0.14328131243474018,0.06943053716296807,0.27186602378534014,
cons,ndcg30,absolute,0.14241800744326588,0.0622861169498723,0.2773426431767042,
