config,metric,kind,mean,lo,hi,significant
base,r,paired_diff,-0.14099127903171024,-0.2414006463057203,-0.020190655192901398,True
cw,r,paired_diff,0.005628665982288046,-0.01714602480611282,0.026127509345674524,False
cw+far,r,paired_diff,-0.05928701904028653,-0.10405785440554112,-0.0021388827302378823,True
base,rho,paired_diff,-0.19800309975752645,-0.32264377496980007,-0.040739089786151386,True
cw,rho,paired_diff,0.004900981444524776,-0.020313138025246435,0.023110520445115728,False
cw+far,rho,paired_diff,-0.09176840345899943,-0.15510182978056467,-0.008576015141231005,True
base,mae,paired_diff,0.17406423518318398,0.01266901222767296,0.3892136121103132,True
cw,mae,paired_diff,-0.0423004826155623,-0.06531768580618422,-0.010748323757625522,True
cw+far,mae,paired_diff,0.07015650024321857,-0.02314660890810865,0.1794595721391155,False
base,stab_rho,paired_diff,0.12443850249404541,-0.12531619859612952,0.3040592920047908,False
cw,stab_rho,paired_diff,0.01743657098779553,-0.0865515440238485,0.10993440970659789,False
cw+far,stab_rho,paired_diff,0.08689765597707645,-0.14172669128672113,0.23115095443440056,False
base,stab_bias,paired_diff,0.6206880889214582,0.2457852727294514,0.9742308755872902,True
cw,stab_bias,paired_diff,0.12999889566444334,0.08515222268931501,0.19392154275160317,True
cw+far,stab_bias,paired_diff,0.3925697865318382,0.17245728635268426,0.5963583603400971,True
base,auc_stab,paired_diff,-0.10952901345947945,-0.17526386983404368,-0.009303275323223609,True
cw,auc_stab,paired_diff,-0.002154387184360023,-0.026344319553361226,0.018436251506762626,False
cw+far,auc_stab,paired_diff,-0.06434148277917914,-0.10755744807233561,0.00013045282572926464,False
base,detpr30,paired_diff,-0.031166666666666662,-0.26666666666666666,0.16749999999999932,False
cw,detpr30,paired_diff,-0.10358333333333332,-0.30000000000000004,0.1333333333333333,False
cw+far,detpr30,paired_diff,-0.06225,-0.30083333333333334,0.16666666666666669,False
base,ndcg30,paired_diff,-0.03423798824461652,-0.12647579952363117,0.026141310756891262,False
cw,ndcg30,paired_diff,-0.02540517869284231,-0.08948074694777727,0.02058945955586894,False
cw+far,ndcg30,paired_diff,-0.01760869771346401,-0.11158697118649535,0.05563686952713596,False
dz,r,absolute,0.6349022862474915,0.49048625138869384,0.7196584403271431,
base,r,absolute,0.4939110072157812,0.41049111511366576,0.6135342754363415,
cw,r,absolute,0.6405309522297796,0.5049585279755728,0.7296292052464415,
cw+far,r,absolute,0.5756152672072049,0.47968020856971305,0.641250202852222,
dz,rho,absolute,0.6558110163503286,0.5964791837922332,0.7037571229660873,
base,rho,absolute,0.4578079165928021,0.34549987531372867,0.6153619062713868,
cw,rho,absolute,0.6607119977948535,0.5895742671534834,0.7107308104426724,
cw+far,rho,absolute,0.5640426128913291,0.5012794166002615,0.6456464677969814,
dz,mae,absolute,0.8565794788675106,0.7647235705063007,0.9809977469318862,
base,mae,absolute,1.0306437140506943,0.8114583138633492,1.2458166265499744,
cw,mae,absolute,0.8142789962519482,0.7274175893672085,0.9368343430785574,
cw+far,mae,absolute,0.926735979110729,0.7723429964863622,1.048976455575173,
dz,stab_rho,absolute,-0.017376698401864708,-0.15230825262596512,0.0946139601863521,
base,stab_rho,absolute,0.10706180409218069,-0.1925945560143492,0.29640393979893626,
cw,stab_rho,absolute,5.987258593082329e-05,-0.141196186726219,0.12734874981864683,
cw+far,stab_rho,absolute,0.06952095757521175,-0.21870703261577146,0.25097335303820834,
dz,stab_bias,absolute,1.3970526110247903,1.0798580998834648,1.9348521150391365,
base,stab_bias,absolute,2.0177406999462484,1.7458284877270966,2.2744310245862,
cw,stab_bias,absolute,1.5270515066892336,1.1805692525117608,2.079230496411148,
cw+far,stab_bias,absolute,1.7896223975566283,1.6091526353902428,2.1474338349885613,
dz,auc_stab,absolute,0.7293531110710382,0.6627223382479966,0.7752187784657953,
base,auc_stab,absolute,0.6198240976115587,0.5580213599387704,0.7146256803519273,
cw,auc_stab,absolute,0.7271987238866781,0.6674599789288482,0.7724081630212081,
cw+far,auc_stab,absolute,0.6650116282918589,0.6210181737930971,0.7158639624841673,
dz,detpr30,absolute,0.6250833333333333,0.3333333333333333,0.8666666666666667,
base,detpr30,absolute,0.5939166666666666,0.26666666666666666,0.9,
cw,detpr30,absolute,0.5215,0.3333333333333333,0.7341666666666659,
cw+far,detpr30,absolute,0.5628333333333333,0.26666666666666666,0.8674999999999993,
dz,ndcg30,absolute,0.21283957210549778,0.11124897435208314,0.3727845033660312,
base,ndcg30,absolute,0.17860158386088126,0.08274277924964768,0.33884059071800965,
cw,ndcg30,absolute,0.1874343934126555,0.10002380404482764,0.3295560754118916,
cw+far,ndcg30,absolute,0.1952308743920338,0.08596047621209033,0.35037609203572645,
