config,metric,kind,mean,lo,hi,significant
base,r,paired_diff,-0.06296726887186553,-0.12418768025237321,-0.00259001096730462,True
cw+cons,r,paired_diff,0.0007092726961479389,-0.014023844217332502,0.019222085433377105,False
cons,r,paired_diff,-0.20194896080175317,-0.2665779840564234,-0.11121203428820581,True
base,rho,paired_diff,-0.07703127141396555,-0.13924552919275782,-0.01054000562086762,True
cw+cons,rho,paired_diff,-0.003779278838561747,-0.016303577815384673,0.012771165462663762,False
cons,rho,paired_diff,-0.26199785038845314,-0.308865226039419,-0.20085043604549077,True
base,mae,paired_diff,0.14355234646505619,0.07446597140926414,0.20058819795887198,True
cw+cons,mae,paired_diff,0.008459027420587293,-0.01640933261669891,0.03474748195233614,False
cons,mae,paired_diff,0.21217037578486,0.15254703447274592,0.25223217771856965,True
base,stab_rho,paired_diff,-0.026241249033239947,-0.1723537715323699,0.07633521291656711,False
cw+cons,stab_rho,paired_diff,-0.036200664569174236,-0.15659314174525202,0.035573468761683144,False
cons,stab_rho,paired_diff,-0.21439541898517483,-0.3870604594884981,0.02226336064656003,False
base,stab_bias,paired_diff,0.09717625193710397,0.014787892808029704,0.1466867875299887,True
cw+cons,stab_bias,paired_diff,0.13672853753511668,0.07913520810200096,0.1818389319573336,True
cons,stab_bias,paired_diff,0.2848258960195396,0.18395893313597378,0.41809981859419226,True
base,auc_stab,paired_diff,-0.05772003400391077,-0.0911313257519454,-0.016871775086993064,True
cw+cons,auc_stab,paired_diff,-0.01266167595437322,-0.026210843572442608,0.002380463435498157,False
cons,auc_stab,paired_diff,-0.14998632766043818,-0.19057435756068886,-0.10318661120338053,True
base,detpr30,paired_diff,0.14383333333333334,-0.1333333333333333,0.40083333333333265,False
cw+cons,detpr30,paired_diff,-0.002916666666666665,-0.19999999999999996,0.2,False
cons,detpr30,paired_diff,-0.03241666666666667,-0.3,0.2666666666666666,False
base,ndcg30,paired_diff,0.011627068760841386,-0.0895540588302496,0.11100816803784563,False
cw+cons,ndcg30,paired_diff,-0.026384886906201766,-0.10293679415447504,0.03758894915057848,False
cons,ndcg30,paired_diff,-0.029086737721640478,-0.14865262183135292,0.09396592668506615,False
base,r,absolute,0.5945094387415096,0.49072478941076714,0.6692355361151706,
cw,r,absolute,0.6574767076133752,0.5300216039768811,0.74398850165938,
cw+cons,r,absolute,0.658185980309523,0.5360366747663954,0.736475346732257,
cons,r,absolute,0.4555277468116219,0.35330339017059936,0.5301576498080697,
base,rho,absolute,0.6112646345575911,0.5499030935064495,0.6814705656224977,
cw,rho,absolute,0.6882959059715565,0.6333405760249694,0.7282071837239121,
cw+cons,rho,absolute,0.6845166271329949,0.6333591816880706,0.726872370351585,
cons,rho,absolute,0.4262980555831035,0.361193235160674,0.485572997927331,
base,mae,absolute,0.9228108941998827,0.8207083426451421,1.02871415502861,
cw,mae,absolute,0.7792585477348265,0.689309675111372,0.912718891515598,
cw+cons,mae,absolute,0.7877175751554139,0.7111280195033177,0.9024988343922127,
cons,mae,absolute,0.9914289235196864,0.8942562453652466,1.1242651687720047,
base,stab_rho,absolute,0.06816777016104479,-0.1553747262474665,0.22389982809408543,
cw,stab_rho,absolute,0.09440901919428474,-0.10141621572805977,0.2338948807134139,
cw+cons,stab_rho,absolute,0.058208354625110516,-0.15193259551920857,0.21427724372895207,
cons,stab_rho,absolute,-0.1199863997908901,-0.25185083653520374,0.028940333674147282,
base,stab_bias,absolute,1.3362439714304395,1.110226262997856,1.7757020364800675,
cw,stab_bias,absolute,1.2390677194933355,0.9729929421840957,1.7099947078351,
cw+cons,stab_bias,absolute,1.3757962570284519,1.1270062129507026,1.8608764028397742,
cons,stab_bias,absolute,1.5238936155128748,1.2484231025954127,1.9722161467298411,
base,auc_stab,absolute,0.7068316294400896,0.6620101194548454,0.7584904907091975,
cw,auc_stab,absolute,0.7645516634440003,0.7222154735186356,0.7984758760355715,
cw+cons,auc_stab,absolute,0.751889987489627,0.7066328377472703,0.7878152010016001,
cons,auc_stab,absolute,0.614565335783562,0.5605816709663041,0.6617734409966539,
base,detpr30,absolute,0.6019166666666667,0.36666666666666664,0.8333333333333334,
cw,detpr30,absolute,0.4580833333333334,0.3,0.6666666666666666,
cw+cons,detpr30,absolute,0.45516666666666666,0.23333333333333334,0.6666666666666666,
cons,detpr30,absolute,0.42566666666666664,0.23333333333333334,0.6666666666666666,
base,ndcg30,absolute,0.17915402696923852,0.09640631535176915,0.3090771104271529,
cw,ndcg30,absolute,0.16752695820839716,0.0845640920959888,0.3094565865625084,
cw+cons,ndcg30,absolute,0.14114207130219536,0.07105655228644357,0.2554130890150254,
cons,ndcg30,absolute,0.1384402204867567,0.06715343075637152,0.27965100194184556,
