config,metric,kind,mean,lo,hi,significant
diag,r,paired_diff,-0.005633159050979213,-0.03362449841457395,0.02407754899068245,False
dz_cw,r,paired_diff,0.013240182050969811,-0.007732153105721809,0.03707251275334003,False
cw,r,paired_diff,0.005628665982288046,-0.01714602480611282,0.026127509345674524,False
diag,rho,paired_diff,-0.006001022755888207,-0.033192602221816574,0.021824049828746535,False
dz_cw,rho,paired_diff,0.02430025265423325,0.00145838854456396,0.04475500699933438,True
cw,rho,paired_diff,0.004900981444524776,-0.020313138025246435,0.023110520445115728,False
diag,mae,paired_diff,-0.028231026263547062,-0.053317101851570764,0.004882766750437979,False
dz_cw,mae,paired_diff,-0.057203288496259906,-0.07824160215123235,-0.029658484003646405,True
cw,mae,paired_diff,-0.0423004826155623,-0.06531768580618422,-0.010748323757625522,True
diag,stab_rho,paired_diff,-0.012344124366772484,-0.05598790581087687,0.02615020055833905,False
dz_cw,stab_rho,paired_diff,0.011783352820705055,-0.04511381940508344,0.052087817551541286,False
cw,stab_rho,paired_diff,0.01743657098779553,-0.0865515440238485,0.10993440970659789,False
diag,stab_bias,paired_diff,0.11414254374364702,0.08163144332008672,0.16675493253331145,True
dz_cw,stab_bias,paired_diff,0.05667071318544762,0.027299012285054235,0.09034596881327021,True
cw,stab_bias,paired_diff,0.12999889566444334,0.08515222268931501,0.19392154275160317,True
diag,auc_stab,paired_diff,-0.0024551948612033074,-0.026714423117246866,0.01317941607897165,False
dz_cw,auc_stab,paired_diff,0.017039108383461784,0.0016331560901339027,0.030159380418783518,True
cw,auc_stab,paired_diff,-0.002154387184360023,-0.026344319553361226,0.018436251506762626,False
diag,detpr30,paired_diff,-0.07175000000000001,-0.20000000000000007,0.06666666666666665,False
dz_cw,detpr30,paired_diff,-0.07366666666666667,-0.2666666666666666,0.16666666666666663,False
cw,detpr30,paired_diff,-0.10358333333333332,-0.30000000000000004,0.1333333333333333,False
diag,ndcg30,paired_diff,-0.0077809429309490365,-0.04862099511137887,0.03075533368699406,False
dz_cw,ndcg30,paired_diff,-0.007407455296441925,-0.08403460182517948,0.0653384059894278,False
cw,ndcg30,paired_diff,-0.02540517869284231,-0.08948074694777727,0.02058945955586894,False
diag,r,absolute,0.6292691271965122,0.492175542812784,0.7284776770041385,
dz,r,absolute,0.6349022862474915,0.49048625138869384,0.7196584403271431,
dz_cw,r,absolute,0.6481424682984612,0.5200222089000999,0.7422687836412175,
cw,r,absolute,0.6405309522297796,0.5049585279755728,0.7296292052464415,
diag,rho,absolute,0.6498099935944404,0.574370802266577,0.7101985055286036,
dz,rho,absolute,0.6558110163503286,0.5964791837922332,0.7037571229660873,
dz_cw,rho,absolute,0.6801112690045618,0.6141382479373197,0.7312707546276025,
cw,rho,absolute,0.6607119977948535,0.5895742671534834,0.7107308104426724,
diag,mae,absolute,0.8283484526039635,0.740964466614638,0.966987002602784,
dz,mae,absolute,0.8565794788675106,0.7647235705063007,0.9809977469318862,
dz_cw,mae,absolute,0.7993761903712507,0.7127456478109937,0.9277076644122426,
cw,mae,absolute,0.8142789962519482,0.7274175893672085,0.9368343430785574,
diag,stab_rho,absolute,-0.029720822768637193,-0.17766231764099105,0.0994423492735415,
dz,stab_rho,absolute,-0.017376698401864708,-0.15230825262596512,0.0946139601863521,
dz_cw,stab_rho,absolute,-0.005593345581159652,-0.14568142299454784,0.1195892098680899,
cw,stab_rho,absolute,5.987258593082329e-05,-0.141196186726219,0.12734874981864683,
diag,stab_bias,absolute,1.5111951547684372,1.171503269727328,2.056747294342222,
dz,stab_bias,absolute,1.3970526110247903,1.0798580998834648,1.9348521150391365,
dz_cw,stab_bias,absolute,1.4537233242102376,1.1187683027138098,2.002723517725275,
cw,stab_bias,absolute,1.5270515066892336,1.1805692525117608,2.079230496411148,
diag,auc_stab,absolute,0.7268979162098347,0.6508593535811921,0.7763863783550214,
dz,auc_stab,absolute,0.7293531110710382,0.6627223382479966,0.7752187784657953,
dz_cw,auc_stab,absolute,0.7463922194544997,0.6770461827280059,0.7905187236606659,
cw,auc_stab,absolute,0.7271987238866781,0.6674599789288482,0.7724081630212081,
diag,detpr30,absolute,0.5533333333333332,0.2991666666666667,0.7666666666666667,
dz,detpr30,absolute,0.6250833333333333,0.3333333333333333,0.8666666666666667,
dz_cw,detpr30,absolute,0.5514166666666667,0.36666666666666664,0.7666666666666667,
cw,detpr30,absolute,0.5215,0.3333333333333333,0.7341666666666659,
diag,ndcg30,absolute,0.20505862917454876,0.10861757643379578,0.3585166196615142,
dz,ndcg30,absolute,0.21283957210549778,0.11124897435208314,0.3727845033660312,
dz_cw,ndcg30,absolute,0.20543211680905585,0.11323227735129655,0.3500491632227252,
cw,ndcg30,absolute,0.1874343934126555,0.10002380404482764,0.3295560754118916,
