config,metric,kind,mean,lo,hi,significant
cw,r,paired_diff,-0.004184926903135797,-0.01198414332697437,0.007011526456745336,False
cons,r,paired_diff,-0.25293871769133813,-0.27575468879807324,-0.2305957714092952,True
base+cons,r,paired_diff,-0.05867460941820244,-0.1641953748193992,0.002032524421209585,False
cw+cons,r,paired_diff,-0.0003611714071438907,-0.008480371347545446,0.011731855541285793,False
all,r,paired_diff,0.0004864364641938282,-0.012204562721396753,0.009186469857016408,False
cw,rho,paired_diff,-0.01022464922221882,-0.014988563179447292,-0.004835852008155144,True
cons,rho,paired_diff,-0.2979766326272378,-0.3169020603315749,-0.2778527810672842,True
base+cons,rho,paired_diff,0.0006420869916120625,-0.0031241932240598873,0.0049153744405786536,False
cw+cons,rho,paired_diff,-0.0038549768273376784,-0.009158265886971292,0.0019908033373476934,False
all,rho,paired_diff,0.014169889720580144,0.009753368098650109,0.01906052800939678,True
cw,mae,paired_diff,0.012226261147504455,0.00688170818804919,0.017135398541971263,True
cons,mae,paired_diff,0.19218158681417152,0.17793930003823763,0.20637913616003833,True
base+cons,mae,paired_diff,0.0009267728202591328,-0.00478791497413302,0.008204596396184887,False
cw+cons,mae,paired_diff,0.0018356171213618328,-0.0039421001354521335,0.006932543043042111,False
all,mae,paired_diff,-0.01018573210813361,-0.015046602329755248,-0.0051913247440661435,True
cw,stab_rho,paired_diff,-0.02319237744588727,-0.08368857054955041,0.033070499474372635,False
cons,stab_rho,paired_diff,-0.3360227589536278,-0.44564586117001315,-0.2308203819171782,True
base+cons,stab_rho,paired_diff,-0.06851944267526741,-0.11471828598083558,-0.023025574960251666,True
cw+cons,stab_rho,paired_diff,-0.05095642462290913,-0.11934879243075659,0.006435630135670262,False
all,stab_rho,paired_diff,-0.04711401916277274,-0.0980609818941941,0.004872934854580806,False
cw,stab_bias,paired_diff,-0.04976371957264829,-0.07599746071904755,-0.025462724080730317,True
cons,stab_bias,paired_diff,0.6556399438171826,0.5958338403410881,0.7145394088475119,True
base+cons,stab_bias,paired_diff,0.06521891025215171,0.04292811117735711,0.08892560396684189,True
cw+cons,stab_bias,paired_diff,0.07839565507163007,0.05168694074117371,0.10662382707297449,True
all,stab_bias,paired_diff,0.04092217770221204,0.017004917117431337,0.06273231996157475,True
cw,auc_stab,paired_diff,0.0016335083917293663,-0.008828074618100224,0.011423500608142246,False
cons,auc_stab,paired_diff,-0.25803143809398404,-0.2850999624277577,-0.2310429441839518,True
base+cons,auc_stab,paired_diff,-0.0018333792440215087,-0.011044152228367504,0.00792817523136858,False
cw+cons,auc_stab,paired_diff,-0.003471354126213995,-0.015690769843272757,0.008833955260828301,False
all,auc_stab,paired_diff,0.010069891334766079,0.0007880856849714568,0.020692158065891277,True
cw,detpr30,paired_diff,-0.016833333333333336,-0.20000000000000007,0.13333333333333341,False
cons,detpr30,paired_diff,-0.33549999999999996,-0.5666666666666667,-0.13250000000000073,True
base+cons,detpr30,paired_diff,0.04675000000000001,-0.10083333333333337,0.20000000000000007,False
cw+cons,detpr30,paired_diff,0.09925,-0.06750000000000005,0.2666666666666667,False
all,detpr30,paired_diff,-0.01225,-0.20000000000000007,0.13333333333333341,False
cw,ndcg30,paired_diff,0.02313874466866002,-0.13523326899167296,0.15876972416742186,False
cons,ndcg30,paired_diff,-0.2597481805078786,-0.41937725266736403,-0.09793209212744411,True
base+cons,ndcg30,paired_diff,0.03670381756889162,-0.06314909499684189,0.12984598504378564,False
cw+cons,ndcg30,paired_diff,0.07330628325110683,-0.07335414517623032,0.21391055784882707,False
all,ndcg30,paired_diff,0.005745835692202221,-0.09631632379544348,0.10285832398591258,False
base,r,absolute,0.7984480492980316,0.779371481172284,0.8151827109928805,
cw,r,absolute,0.7942631223948959,0.7783741775711451,0.8091451349689935,
cons,r,absolute,0.5455093316066935,0.5222568847719333,0.5663872250075213,
base+cons,r,absolute,0.7397734398798292,0.6222862049705418,0.813094109303276,
cw+cons,r,absolute,0.7980868778908876,0.7825607000850835,0.8126051864339975,
all,r,absolute,0.7989344857622254,0.7717641792953518,0.8203567344754417,
base,rho,absolute,0.7754003584267282,0.7602068950427058,0.7907571961736912,
cw,rho,absolute,0.7651757092045094,0.747839792297872,0.7804272658699392,
cons,rho,absolute,0.4774237257994905,0.45824513520649607,0.4966995144562626,
base+cons,rho,absolute,0.7760424454183402,0.7589268476488342,0.7903763638194792,
cw+cons,rho,absolute,0.7715453815993905,0.7546506097852717,0.7865371155293809,
all,rho,absolute,0.7895702481473083,0.7742602696785714,0.8028950304045805,
base,mae,absolute,0.44172378138944185,0.4276691649842676,0.4563219315822971,
cw,mae,absolute,0.4539500425369462,0.4394573467981286,0.46828969737974036,
cons,mae,absolute,0.6339053682036133,0.6169409491332412,0.6512142478092451,
base+cons,mae,absolute,0.442650554209701,0.42806978671121365,0.45861776505797525,
cw+cons,mae,absolute,0.44355939851080367,0.4297032221377283,0.45833922584266956,
all,mae,absolute,0.43153804928130823,0.41762241172699915,0.44682562526786196,
base,stab_rho,absolute,0.26670017717023,0.18316450235616766,0.35033989323638626,
cw,stab_rho,absolute,0.24350779972434267,0.16226387599416445,0.3269048440900287,
cons,stab_rho,absolute,-0.06932258178339787,-0.16354659822105577,0.008978212548852504,
base+cons,stab_rho,absolute,0.19818073449496257,0.11134363438007626,0.2861635474040115,
cw+cons,stab_rho,absolute,0.2157437525473208,0.12650481296617322,0.31155060363580594,
all,stab_rho,absolute,0.21958615800745726,0.13729260887561023,0.31735509407558665,
base,stab_bias,absolute,0.6112194401429673,0.5679506342500901,0.6577931617547246,
cw,stab_bias,absolute,0.561455720570319,0.5182368215098477,0.6104765803381887,
cons,stab_bias,absolute,1.2668593839601499,1.2086909725089217,1.3223946572021472,
base+cons,stab_bias,absolute,0.6764383503951188,0.6306487674113477,0.7236472340060022,
cw+cons,stab_bias,absolute,0.6896150952145973,0.6431193384015704,0.7381528962816822,
all,stab_bias,absolute,0.6521416178451793,0.6058554347457953,0.6979928235355073,
base,auc_stab,absolute,0.854390337204357,0.8359374592853986,0.8717546066944364,
cw,auc_stab,absolute,0.8560238455960862,0.838324474171332,0.8726769938236273,
cons,auc_stab,absolute,0.5963588991103728,0.5730402009163215,0.6223354357442047,
base+cons,auc_stab,absolute,0.8525569579603354,0.8335358562252307,0.8684356078799564,
cw+cons,auc_stab,absolute,0.8509189830781431,0.8334343324288199,0.8686877489758074,
all,auc_stab,absolute,0.864460228539123,0.8477859344867961,0.8823193353187417,
base,detpr30,absolute,0.7709166666666667,0.6,0.9,
cw,detpr30,absolute,0.7540833333333333,0.5666666666666667,0.9,
cons,detpr30,absolute,0.43541666666666673,0.26666666666666666,0.6,
base+cons,detpr30,absolute,0.8176666666666668,0.6333333333333333,0.9666666666666667,
cw+cons,detpr30,absolute,0.8701666666666668,0.7333333333333333,0.9666666666666667,
all,detpr30,absolute,0.7586666666666667,0.6333333333333333,0.9008333333333326,
base,ndcg30,absolute,0.5023885891492945,0.3784388692274866,0.6625444805734895,
cw,ndcg30,absolute,0.5255273338179545,0.406938328249217,0.613038573889454,
cons,ndcg30,absolute,0.2426404086414159,0.13804504700274825,0.3453146004094405,
base+cons,ndcg30,absolute,0.539092406718186,0.38395623779899335,0.7247276192353491,
cw+cons,ndcg30,absolute,0.5756948724004013,0.4369994730513884,0.717893737255171,
all,ndcg30,absolute,0.5081344248414967,0.3738640568749987,0.6738310350638764,
