config,metric,kind,mean,lo,hi,significant
diag,r,paired_diff,-0.01725941515680329,-0.02265026037960282,-0.010363829876882077,True
dz_cw,r,paired_diff,-0.0009490255999320477,-0.005721802126206876,0.0051963785858573554,False
cw,r,paired_diff,0.00023885468791214225,-0.007735333271392686,0.007743196116905093,False
diag,rho,paired_diff,-0.019839593605188225,-0.024029286384287016,-0.01598379521106625,True
dz_cw,rho,paired_diff,-0.0033671723658039144,-0.007676438041620132,0.00103347806473703,False
cw,rho,paired_diff,-0.011903731163429647,-0.01891918079746101,-0.005455561577191093,True
diag,mae,paired_diff,0.020255328915376635,0.015731121962012595,0.025135581963466293,True
dz_cw,mae,paired_diff,0.0030379397648918603,-0.0014392649464655405,0.0070434603140670715,False
cw,mae,paired_diff,0.004615953825723925,-0.0011462045980401901,0.0117814171449318,False
diag,stab_rho,paired_diff,-0.03486686983030265,-0.081766977665673,0.0070175752247678405,False
dz_cw,stab_rho,paired_diff,-0.043175128550034844,-0.07795333787319281,-0.008660519635743132,True
cw,stab_rho,paired_diff,-0.09346144460512558,-0.16318645865777814,-0.02274045200625712,True
diag,stab_bias,paired_diff,0.064169369779329,0.05020650106913234,0.079961968169004,True
dz_cw,stab_bias,paired_diff,0.021319879615567174,0.007277926925678685,0.034518292224972345,True
cw,stab_bias,paired_diff,0.03534217489206312,0.008111200676205816,0.06190119333423414,True
diag,auc_stab,paired_diff,-0.023442492893103784,-0.03063101453051327,-0.016520722078912236,True
dz_cw,auc_stab,paired_diff,-0.011258686326869572,-0.017667468648672448,-0.004864202269128781,True
cw,auc_stab,paired_diff,-0.02696896182948296,-0.0400124015283041,-0.012799432175446743,True
diag,detpr30,paired_diff,-0.14191666666666666,-0.3333333333333333,0.06666666666666665,False
dz_cw,detpr30,paired_diff,0.024000000000000004,-0.16666666666666674,0.20000000000000007,False
cw,detpr30,paired_diff,0.11650000000000002,-0.09999999999999998,0.30000000000000004,False
diag,ndcg30,paired_diff,-0.050867926936718655,-0.22023731098645744,0.09638999481002304,False
dz_cw,ndcg30,paired_diff,0.001848889896506426,-0.18004987264139774,0.1578459491209576,False
cw,ndcg30,paired_diff,0.12697735094395476,-0.02835137689202401,0.28115488141552375,False
diag,r,absolute,0.7744499395732721,0.7572580894355718,0.7902772737287032,
dz,r,absolute,0.7917093547300754,0.7753349767079495,0.8072657338315445,
dz_cw,r,absolute,0.7907603291301433,0.7728831472946734,0.8059062855514468,
cw,r,absolute,0.7919482094179875,0.7754424679177032,0.8072327596159229,
diag,rho,absolute,0.7565539433550879,0.7407119548551734,0.7699843632521662,
dz,rho,absolute,0.7763935369602762,0.760489518440123,0.7902114859192516,
dz_cw,rho,absolute,0.7730263645944723,0.7561737878605247,0.7868137289627036,
cw,rho,absolute,0.7644898057968464,0.7475528450595836,0.7784134786730208,
diag,mae,absolute,0.4660613924439053,0.4520735823129192,0.4811951229908545,
dz,mae,absolute,0.4458060635285287,0.4326495184740207,0.46097746541322276,
dz_cw,mae,absolute,0.44884400329342056,0.4360391819534718,0.46397135147002977,
cw,mae,absolute,0.45042201735425264,0.43670355109706793,0.465025444868103,
diag,stab_rho,absolute,0.21527191531337486,0.12380298109539785,0.297336763127509,
dz,stab_rho,absolute,0.2501387851436775,0.17125849975455415,0.3345928137241523,
dz_cw,stab_rho,absolute,0.20696365659364266,0.1258960879771269,0.2897424171516444,
cw,stab_rho,absolute,0.15667734053855192,0.06854860815644942,0.2516813678549406,
diag,stab_bias,absolute,0.7974173108452505,0.7567825621817972,0.8375154348388191,
dz,stab_bias,absolute,0.7332479410659214,0.6937735878449147,0.7729272242294637,
dz_cw,stab_bias,absolute,0.7545678206814886,0.7106208935767105,0.7976381546742746,
cw,stab_bias,absolute,0.7685901159579847,0.7224001651740825,0.8153048429551534,
diag,auc_stab,absolute,0.8358387484522244,0.8192523376943843,0.8523190128334308,
dz,auc_stab,absolute,0.8592812413453282,0.8429881333699848,0.8736326290277888,
dz_cw,auc_stab,absolute,0.8480225550184585,0.8300025107638326,0.8639774804291869,
cw,auc_stab,absolute,0.8323122795158452,0.8137952342472522,0.8509920300649995,
diag,detpr30,absolute,0.5185833333333334,0.3333333333333333,0.6674999999999992,
dz,detpr30,absolute,0.6605000000000001,0.4666666666666667,0.8333333333333334,
dz_cw,detpr30,absolute,0.6845,0.5,0.8333333333333334,
cw,detpr30,absolute,0.777,0.6,0.9333333333333333,
diag,ndcg30,absolute,0.3681329071973326,0.23210608151787246,0.49209596797771915,
dz,ndcg30,absolute,0.4190008341340512,0.2836809596637916,0.5692521405577144,
dz_cw,ndcg30,absolute,0.42084972403055765,0.306746439372504,0.5441985309347201,
cw,ndcg30,absolute,0.545978185078006,0.4364703236174159,0.6415448195829201,
