config,metric,kind,mean,lo,hi,significant
diag,r,paired_diff,0.012124371078626675,-0.0314774215368221,0.053183617400551365,False
dz_cw,r,paired_diff,0.0014924993748722916,-0.06211812041080945,0.05782890307509299,False
cw,r,paired_diff,-0.053981584286624466,-0.1482284991525079,0.030233738377151844,False
far,r,paired_diff,-0.18914716643627613,-0.3174211923491747,-0.0693946589825314,True
diag,rho,paired_diff,0.013253141216061798,-0.028922491213312387,0.05342928994571602,False
dz_cw,rho,paired_diff,0.006610860066669436,-0.05826594081522087,0.05586563555812441,False
cw,rho,paired_diff,-0.05606600482627606,-0.1450121894752492,0.019226767922121895,False
far,rho,paired_diff,-0.19638938860817795,-0.3120423599294459,-0.06526774213138592,True
diag,mae,paired_diff,-0.06611046438025842,-0.15083021801391194,0.020690824331478785,False
dz_cw,mae,paired_diff,-0.08105240439104026,-0.17163186543789313,0.01717655941569572,False
cw,mae,paired_diff,-0.041441844067582334,-0.12661498979552155,0.05534054139097183,False
far,mae,paired_diff,0.10623788226787977,-0.004475424977155931,0.22863219915728392,False
diag,stab_rho,paired_diff,0.01774141068415648,-0.09758693299332363,0.19376077505907993,False
dz_cw,stab_rho,paired_diff,-0.07685487248821726,-0.21178892930685875,0.11227081354954575,False
cw,stab_rho,paired_diff,-0.10501537213733134,-0.2846632691797511,0.2061375060769459,False
far,stab_rho,paired_diff,0.013513604242244064,-0.23867525362082054,0.26445151603748895,False
diag,stab_bias,paired_diff,0.14196928395893862,0.09312451916305324,0.1780844511119724,True
dz_cw,stab_bias,paired_diff,0.10980377846901541,0.02486200014434752,0.18577061484039983,True
cw,stab_bias,paired_diff,0.25308277674606494,0.0322201325074057,0.48698823491415566,True
far,stab_bias,paired_diff,0.5629912639992983,0.3512823593694224,0.7499097747872677,True
diag,auc_stab,paired_diff,0.0019005418695651028,-0.030510977733799148,0.032330381913166485,False
dz_cw,auc_stab,paired_diff,0.00987462978902183,-0.03116456762393711,0.0527325944870702,False
cw,auc_stab,paired_diff,-0.016316193553212465,-0.08887967745585626,0.06609263180541705,False
far,auc_stab,paired_diff,-0.06391416482640432,-0.1614430033857823,0.049360474496129465,False
diag,detpr30,paired_diff,-0.05424999999999999,-0.16666666666666663,0.06666666666666665,False
dz_cw,detpr30,paired_diff,-0.03525,-0.13333333333333336,0.06666666666666665,False
cw,detpr30,paired_diff,-0.03616666666666666,-0.23416666666666663,0.20083333333333264,False
far,detpr30,paired_diff,-0.1985,-0.4666666666666667,0.10083333333333261,False
diag,ndcg30,paired_diff,0.01654612144444298,-0.029909712186316717,0.07288122817544047,False
dz_cw,ndcg30,paired_diff,0.064896792820523,-0.04662058812300465,0.18566275514355854,False
cw,ndcg30,paired_diff,0.03136355869184171,-0.13424848397438152,0.19599207919115283,False
far,ndcg30,paired_diff,-0.046272699972979295,-0.2473248088791342,0.20976953232337828,False
diag,r,absolute,0.5537241055581269,0.3781751058935939,0.7070846763032732,
dz,r,absolute,0.5415997344795002,0.38133648462109565,0.6788670678217971,
dz_cw,r,absolute,0.5430922338543724,0.358288697594316,0.7047410120436854,
cw,r,absolute,0.48761815019287574,0.26506634330420864,0.6776933121065316,
far,r,absolute,0.3524525680432241,0.17444141980666222,0.5334892053665802,
diag,rho,absolute,0.5574252474979086,0.36724232763179104,0.7121491672832061,
dz,rho,absolute,0.5441721062818469,0.3735945473286872,0.6913915572928865,
dz_cw,rho,absolute,0.5507829663485162,0.3417850572811698,0.7128420017775634,
cw,rho,absolute,0.48810610145557076,0.2633124316157452,0.6686989988379017,
far,rho,absolute,0.34778271767366886,0.1432386564595366,0.5128095541564244,
diag,mae,absolute,0.9919688478846587,0.7732608923642393,1.3049716144256154,
dz,mae,absolute,1.0580793122649172,0.8820230016432654,1.30398091936292,
dz_cw,mae,absolute,0.9770269078738768,0.7482753155490071,1.2996782761536712,
cw,mae,absolute,1.0166374681973347,0.7908874032003548,1.3345496483923347,
far,mae,absolute,1.1643171945327968,0.9468846961357037,1.4567248745839771,
diag,stab_rho,absolute,0.09965590303148979,-0.11741382383349122,0.38832252729147493,
dz,stab_rho,absolute,0.0819144923473333,-0.12479616830091328,0.3691704080762577,
dz_cw,stab_rho,absolute,0.005059619859116051,-0.22416151708384413,0.35475560715770527,
cw,stab_rho,absolute,-0.023100879789998034,-0.2799620404509884,0.41095680820249686,
far,stab_rho,absolute,0.09542809658957736,-0.1253035114274187,0.41514020121104567,
diag,stab_bias,absolute,2.036309435696248,1.5869958375049176,2.4532031819181013,
dz,stab_bias,absolute,1.8943401517373093,1.4844818801307673,2.2884735255534374,
dz_cw,stab_bias,absolute,2.004143930206325,1.5449679800864482,2.473642205217922,
cw,stab_bias,absolute,2.1474229284833743,1.5505791964372528,2.759602514687227,
far,stab_bias,absolute,2.4573314157366077,1.9337634015314709,2.9831656086334006,
diag,auc_stab,absolute,0.7053923858988297,0.6033305033234001,0.8120087298649777,
dz,auc_stab,absolute,0.7034918440292646,0.5971952759197324,0.8103600034380691,
dz_cw,auc_stab,absolute,0.7133664738182864,0.6078546806301043,0.8183203478622602,
cw,auc_stab,absolute,0.687175650476052,0.5597652833343797,0.8289483218486084,
far,auc_stab,absolute,0.6395776792028602,0.5150916907357918,0.776504323674543,
diag,detpr30,absolute,0.4369166666666666,0.23333333333333334,0.6,
dz,detpr30,absolute,0.4911666666666667,0.26666666666666666,0.7,
