config,metric,kind,mean,lo,hi,significant
diag,r,paired_diff,0.2012715375149028,0.08654162694373697,0.31479109514788783,True
dz,r,paired_diff,0.18914716643627613,0.06939465898253137,0.3174211923491747,True
dz_cw,r,paired_diff,0.1906396658111484,0.07140936560638121,0.31208647732683803,True
cw,r,paired_diff,0.13516558214965166,-0.0020067323028154353,0.2747797533351624,False
diag,rho,paired_diff,0.20964252982423978,0.08916181038590783,0.31032222347328503,True
dz,rho,paired_diff,0.19638938860817795,0.06526774213138589,0.31204235992944584,True
dz_cw,rho,paired_diff,0.2030002486748474,0.06965340761787499,0.30891443063722035,True
cw,rho,paired_diff,0.1403233837819019,0.003872331496512286,0.2629000341901717,True
diag,mae,paired_diff,-0.17234834664813817,-0.253753439336778,-0.07924896771139649,True
dz,mae,paired_diff,-0.10623788226787977,-0.2286321991572841,0.004475424977155925,False
dz_cw,mae,paired_diff,-0.18729028665892003,-0.2847316822569859,-0.08056378016938151,True
cw,mae,paired_diff,-0.1476797263354621,-0.24225280313587477,-0.04824824308363326,True
diag,stab_rho,paired_diff,0.00422780644191242,-0.2777411084202048,0.2710647073806524,False
dz,stab_rho,paired_diff,-0.013513604242244064,-0.26445151603748906,0.23867525362082054,False
dz_cw,stab_rho,paired_diff,-0.0903684767304613,-0.2643530803532553,0.12593058457050738,False
cw,stab_rho,paired_diff,-0.1185289763795754,-0.3161305490798721,0.13309570223910006,False
diag,stab_bias,paired_diff,-0.4210219800403597,-0.609221324410602,-0.22048409953012624,True
dz,stab_bias,paired_diff,-0.5629912639992983,-0.7499097747872678,-0.3512823593694224,True
dz_cw,stab_bias,paired_diff,-0.4531874855302829,-0.635552734988198,-0.27768144286653296,True
cw,stab_bias,paired_diff,-0.30990848725323333,-0.5576525541439584,-0.13781028865646325,True
diag,auc_stab,paired_diff,0.06581470669596942,-0.04797257197760433,0.16205548688973243,False
dz,auc_stab,paired_diff,0.06391416482640432,-0.049360474496129556,0.16144300338578227,False
dz_cw,auc_stab,paired_diff,0.07378879461542616,-0.02977834504900641,0.17111574409128333,False
cw,auc_stab,paired_diff,0.04759797127319187,-0.05865427139615931,0.1425159259047242,False
diag,detpr30,paired_diff,0.14425000000000002,-0.16749999999999998,0.3666666666666667,False
dz,detpr30,paired_diff,0.1985,-0.10083333333333332,0.4666666666666667,False
dz_cw,detpr30,paired_diff,0.16325000000000003,-0.13333333333333336,0.4008333333333326,False
cw,detpr30,paired_diff,0.16233333333333333,-0.06666666666666665,0.4008333333333326,False
diag,ndcg30,paired_diff,0.06281882141742229,-0.20737534900113577,0.28596985050784757,False
dz,ndcg30,paired_diff,0.046272699972979295,-0.20976953232337853,0.24732480887913416,False
dz_cw,ndcg30,paired_diff,0.1111694927935023,-0.07375670847300954,0.2886100573809167,False
cw,ndcg30,paired_diff,0.077636258664821,-0.05974272297595157,0.2169105002837261,False
diag,r,absolute,0.5537241055581269,0.3781751058935939,0.7070846763032732,
dz,r,absolute,0.5415997344795002,0.38133648462109565,0.6788670678217971,
dz_cw,r,absolute,0.5430922338543724,0.358288697594316,0.7047410120436854,
cw,r,absolute,0.48761815019287574,0.26506634330420864,0.6776933121065316,
far,r,absolute,0.3524525680432241,0.17444141980666222,0.5334892053665802,
diag,rho,absolute,0.5574252474979086,0.36724232763179104,0.7121491672832061,
dz,rho,absolute,0.5441721062818469,0.3735945473286872,0.6913915572928865,
dz_cw,rho,absolute,0.5507829663485162,0.3417850572811698,0.7128420017775634,
cw,rho,absolute,0.48810610145557076,0.2633124316157452,0.6686989988379017,
