config,group,n,r,rho,mae,sd_true,mae_over_sd,bias
cw+bio_t,all,12359,0.7982574864166122,0.772204146743992,0.4467083518661751,1.0158421092903138,0.43974191242992855,-0.0765113816671013
cw+bio_t,natural,7679,0.8033774370031679,0.795948149262962,0.4727268447974079,1.1083086920329237,0.42652994440592634,-0.07966205483711172
cw+bio_t,de novo,4680,0.7741898656613856,0.720080046353803,0.40401689733221413,0.8245575702170937,0.4899802171797931,-0.07134171942938547
cw+bio_t,stabilizing,535,0.2859770556589167,0.2616730743008678,0.6195124214376322,0.2974140498425916,2.0829964884493966,0.5593504719822909
cw+bio_t,->Pro,472,0.7103498343730461,0.7354011812208842,0.6824993655054812,1.2103479648391593,0.5638869030495517,-0.12725129979724062
cw+bio_t,buried Gly,108,0.6660158532710834,0.6876351615269561,0.7521863833447726,1.2108799918338935,0.62118986887014,-0.17189117813181215
base+cw+bio_t,all,12359,0.7925259561135429,0.7841769488888441,0.4364861029497209,1.0158421092903138,0.4296790800045277,-0.05944968356053341
base+cw+bio_t,natural,7679,0.792541600997965,0.8100817552308319,0.4609845237921195,1.1083086920329237,0.41593513351100325,-0.05608578164048746
base+cw+bio_t,de novo,4680,0.7822681627724009,0.7267733853826136,0.3962888008880159,0.8245575702170937,0.48060780132511416,-0.06496921408276266
base+cw+bio_t,stabilizing,535,0.27673801796276426,0.2642288661700424,0.6298708678485351,0.2974140498425916,2.117824857910709,0.5612325372660151
base+cw+bio_t,->Pro,472,0.7306400231305108,0.7529214983615965,0.647897120822449,1.2103479648391593,0.5352982279840052,-0.10916680374881221
base+cw+bio_t,buried Gly,108,0.7053090114326679,0.7159011879924166,0.7324382406649286,1.2108799918338935,0.6048809507172064,-0.04919954059830306
