config,group,n,r,rho,mae,sd_true,mae_over_sd,bias
base,all,12359,0.7989925779487783,0.7758701544011274,0.44192348629030836,1.0158421092903138,0.435031667075747,-0.05510620537578143
base,natural,7679,0.8018102925866487,0.8003500698021039,0.4687671594944395,1.1083086920329237,0.42295721658069807,-0.05238391411623109
base,de novo,4680,0.7814119501109295,0.7228392747156286,0.397878066090624,0.8245575702170937,0.48253521702052726,-0.059572973448876965
base,stabilizing,535,0.29549373237812787,0.26813598185696524,0.6628702671869587,0.2974140498425916,2.2287792642539492,0.6132534024341172
base,->Pro,472,0.7453100408580414,0.7673154168337557,0.667875914549773,1.2103479648391593,0.5518048808703749,-0.26455062267466245
base,buried Gly,108,0.7328987225580698,0.7396800899330265,0.6817889802294866,1.2108799918338935,0.56305247822033,-0.03430217401349621
cw,all,12359,0.7948536600825096,0.765683085142809,0.45419962267583314,1.0158421092903138,0.44711635649081866,-0.08562422837970969
cw,natural,7679,0.8007299236219516,0.7915335316838658,0.4800071862236797,1.1083086920329237,0.4330988195565108,-0.08627088087122715
cw,de novo,4680,0.7683450501044448,0.7087993863957492,0.41185426359807387,0.8245575702170937,0.4994851523704267,-0.08456319323390567
cw,stabilizing,535,0.24876392201762704,0.24494828702230736,0.629378063090171,0.2974140498425916,2.1161678926172907,0.5629176297328538
cw,->Pro,472,0.7099169491769955,0.7389824574296933,0.6910433057652827,1.2103479648391593,0.5709459806933406,-0.2420926080669702
cw,buried Gly,108,0.6730095169415093,0.6858917564567912,0.752776012534444,1.2108799918338935,0.6216768115842388,-0.06321382641522554
cons,all,12359,0.5462153418509398,0.4778821692930041,0.6347561417791372,1.0158421092903138,0.6248570875080082,-0.03162833132462284
cons,natural,7679,0.5720436805284563,0.5351383618845384,0.6742492840555974,1.1083086920329237,0.6083587441860178,-0.05001380969056422
cons,de novo,4680,0.4314716278367282,0.33977451300408484,0.5699553213644069,0.8245575702170937,0.6912256244452962,-0.0014612184246091558
cons,stabilizing,535,-0.03277952724518198,-0.06672948917075862,1.2725005874039736,0.2974140498425916,4.278549006267367,1.26347984263632
cons,->Pro,472,0.5200137648642728,0.5472855816144571,1.0428653974361872,1.2103479648391593,0.8616244482839871,-0.8428898398999645
cons,buried Gly,108,0.4912351619458966,0.4804748158945192,0.8072316947586253,1.2108799918338935,0.6666488010393684,-0.06736081252094801
base+cons,all,12359,0.7315580702569231,0.7765105083831091,0.44289771869264216,1.0158421092903138,0.4359907062742838,-0.03403770449540769
base+cons,natural,7679,0.7150375536420992,0.7995092752667933,0.4734203421671367,1.1083086920329237,0.42715567023007084,-0.04520381036441579
base+cons,de novo,4680,0.7802500876299356,0.724399626561924,0.3928158328677183,0.8245575702170937,0.4763958843580755,-0.015716224374015975
base+cons,stabilizing,535,0.22766745737801608,0.1992752033176551,0.7150830494681353,0.2974140498425916,2.4043351342903865,0.6777818350282144
base+cons,->Pro,472,0.7367828897080204,0.7661831300915531,0.6746824695161925,1.2103479648391593,0.5574285156961863,-0.30284346172992527
base+cons,buried Gly,108,0.7680587053080017,0.7611058713690969,0.5990823019684358,1.2108799918338935,0.49474952597170085,0.04037779471629723
cw+cons,all,12359,0.7987353261080241,0.7721048691361915,0.44377219484262337,1.0158421092903138,0.43685154492429035,-0.014214840041114224
cw+cons,natural,7679,0.8042160735671273,0.7968788393499748,0.47013030784917115,1.1083086920329237,0.42418715221553577,-0.025963753206384655
cw+cons,de novo,4680,0.7732230474661073,0.7150288469570891,0.4005234876252556,0.8245575702170937,0.48574350911580827,0.005062917265747226
cw+cons,stabilizing,535,0.20892812586400752,0.21612419891511675,0.7253794477376498,0.2974140498425916,2.4389548782969794,0.6906295386886317
cw+cons,->Pro,472,0.7143633490052697,0.7445820387506366,0.6688678520910574,1.2103479648391593,0.5526244282816156,-0.19990317851109068
cw+cons,buried Gly,108,0.706947742315846,0.6957710518543923,0.6855411852372941,1.2108799918338935,0.5661512204847262,-0.02115323468171987
all,all,12359,0.7991537862333488,0.7900586465566571,0.4318140137338088,1.0158421092903138,0.42507985225723915,-0.02064772665200356
all,natural,7679,0.8009416888470462,0.8131388172553922,0.4574064617611034,1.1083086920329237,0.4127067350902952,-0.03166045602121602
all,de novo,4680,0.7846653378074433,0.7375513171305679,0.389821618776203,0.8245575702170937,0.47276458655708997,-0.0025779085267509014
all,stabilizing,535,0.24457283692902493,0.21936866126158036,0.6893769511278263,0.2974140498425916,2.317903110134453,0.6540377181112071
all,->Pro,472,0.7395099341828819,0.7556371834658292,0.637015627207841,1.2103479648391593,0.5263078434576397,-0.07080168980214706
all,buried Gly,108,0.7346606253394928,0.7318776377337639,0.6543589679520302,1.2108799918338935,0.5403995213109394,0.006209711327714007
