config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
base,tsu_oof,12359,535,0.7989925779487783,0.7758701544011274,0.44192348629030836,0.6148744709246861,0.6132534024341172,0.26813598185696524,0.6628702671869586,0.8537797351814147,0.7333333333333333,0.4684259264056051,256,415
base,s669,541,69,0.4367337710146901,0.47434435614149845,1.159547159068115,1.5540693815571234,1.888325310652114,-0.030136613099942634,1.888325310652114,0.6766150822893638,0.43333333333333335,0.43269085539167657,256,415
cw,tsu_oof,12359,535,0.7948536600825095,0.765683085142809,0.45419962267583314,0.6250383269544703,0.5629176297328538,0.24494828702230736,0.629378063090171,0.8555538869146232,0.7666666666666667,0.5273811299167231,256,361
cw,s669,541,69,0.5188253360479432,0.5309551429663065,0.999291110887296,1.4053017769597484,1.898384632517201,-0.11937680822851746,1.9131767318265058,0.7084868582657824,0.5,0.4243316940952167,256,361
base+cw,tsu_oof,12359,535,0.7994514231601344,0.7819896463381049,0.43902029692497246,0.6152595883036275,0.574859364978152,0.24348121829161448,0.648405755629814,0.8599180504091156,0.9,0.5473776491730751,512,528
base+cw,s669,541,69,0.5141770609264483,0.5439192503270687,1.1010045105963593,1.4861162419239993,1.8029561883994434,-0.04857678448735447,1.8105488190235624,0.7229796118889709,0.43333333333333335,0.42706136477219203,512,528
cw+far,tsu_oof,12359,535,0.7983535891101811,0.7784625754434742,0.44102694960159167,0.6174056827715594,0.5952022580914613,0.23632250905506072,0.6558822065066544,0.8558947112162179,0.7666666666666667,0.4390634089076116,512,471
cw+far,s669,541,69,0.4821284833811527,0.5130020392335657,1.1118837133315045,1.491558304242741,1.904080577940985,-0.08086992902804498,1.9132605696276124,0.6765536723163842,0.43333333333333335,0.3938894081709283,512,471
base+bio,tsu_oof,12359,535,0.7865076444104201,0.7821199330078324,0.43896121455023945,0.6362591783758025,0.5716990559634221,0.2868136216951575,0.628839583452622,0.8679231532887333,0.7333333333333333,0.5188551531742167,297,377
base+bio,s669,541,69,0.4248994985347018,0.4685177531416442,1.2697476033077737,1.6563190264381107,1.631140091275553,-0.048485406036475324,1.639926133670932,0.646063620732007,0.2,0.22620234690393926,297,377
base+bio_nox,tsu_oof,12359,535,0.8049655132813003,0.7852559912118656,0.43653276961367,0.6064738064791543,0.5771418493924104,0.25994928225615593,0.6378484955240447,0.8633612294967941,0.7,0.5063001811527261,285,368
base+bio_nox,s669,541,69,0.3957923917795051,0.38897407442830256,1.2505055358635222,1.6437705607404576,1.7074363396122798,-0.0027779049067260648,1.7106435080970466,0.6265352493244903,0.2,0.2356303239639568,285,368
base+cw+bio,tsu_oof,12359,535,0.8079853662165416,0.7861621340856654,0.4339731759375576,0.602846097631677,0.5722612616694558,0.2676128179850511,0.6360562627518636,0.8629465810074235,0.7333333333333333,0.5842173101559243,553,466
base+cw+bio,s669,541,69,0.48443463470190873,0.5151204594708421,1.1158296035687643,1.5076566859227145,1.7511560307786183,0.02109014646290709,1.759123539521681,0.7236244166052568,0.5333333333333333,0.48046544074282366,553,466
bio,tsu_oof,12359,535,0.4943799505778345,0.40014934602563323,0.7170307168113341,1.014690051395726,0.6972865833154901,0.06486432690062238,0.7773487209845577,0.6730601785691703,0.23333333333333334,0.1085616572285885,41,213
bio,s669,541,69,0.014407643227097835,0.06660329293007904,1.3912840762091683,1.8313426958827577,1.9156192506006533,-0.17263216940088424,1.9156192506006533,0.464873495455662,0.13333333333333333,0.050156849026014166,41,213
