config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs,augment,source,note
base,fireprot_le500,3205,408,0.476217543300571,0.4146678471096274,1.0337130007523243,1.4269062432692323,2.002018648007634,0.2413776251743061,2.0032957582836204,0.597404782434962,0.6333333333333333,0.183515392449745,256,205,False,results_headtohead.csv,vs the prior best (dz)
base+diag,fireprot_le500,3205,408,0.5674775810993858,0.5161737464529106,0.9293255668994572,1.3187789431453525,1.7278373166356389,0.2259852827916234,1.730094788955713,0.6472454730909166,0.7,0.1978283763208591,384,220,False,results_locality.csv,locality decomposition
cw,fireprot_le500,3205,408,0.6572916837523557,0.6703787003767677,0.791185473782125,1.2081393323962737,1.4235916948381993,0.020400089297942,1.425004135806291,0.7386441705749157,0.5666666666666667,0.1872972389550231,256,171,False,results_locality_paired.csv,"locality, one paired dump"
cw+far,fireprot_le500,3205,408,0.5784918583222358,0.5470126319544458,0.9169047893343506,1.313605655907943,1.740767945111918,0.1809454280077909,1.7415189332872356,0.6570686730180094,0.6666666666666666,0.2092580947394077,512,274,False,results_fact_noaug.csv,2x4 factorial
diag,fireprot_le500,3205,408,0.6469945472311537,0.6593852456490417,0.8031868311039398,1.2238548334194508,1.414746185125637,-0.0116714585601326,1.414746185125637,0.7391313872706753,0.6,0.198859064022592,128,108,False,results_onehot_fp.csv,substitution-identity control
dz,fireprot_le500,3205,408,0.6474084193599613,0.6610297348164245,0.8332859789535907,1.273499027905317,1.3083925467938269,0.0028762004260516,1.3084684234833115,0.7395642740471232,0.6666666666666666,0.2037373597147032,256,167,False,results_locality_paired.csv,"locality, one paired dump"
dz_cw,fireprot_le500,3205,408,0.6647597173107951,0.6900066683252121,0.7752101873434527,1.202122890334378,1.3606818675079977,0.0190344927701162,1.3606818675079977,0.7579479414218315,0.5666666666666667,0.1910282806876496,256,169,False,results_locality_paired.csv,"locality, one paired dump"
far,fireprot_le500,3205,408,0.5040867623042998,0.4572201144865973,1.0005503069153023,1.3905776179549456,1.9029970032829964,0.2159863132623022,1.9034542710991085,0.6178845331482612,0.6,0.16785285994233,256,262,False,results_far_noaug_fp.csv,far-shell control
onehot,fireprot_le500,3205,408,0.3813017996996263,0.3688165374016627,1.0337262003189938,1.474052145660488,1.6887888638005244,-0.0719706173008385,1.6887888638005244,0.620650977588032,0.3333333333333333,0.0824814002961624,40,93,False,results_onehot_fp.csv,substitution-identity control
base,fireprot_le500,3205,408,0.594971853123421,0.6016041621456829,0.9010634210938612,1.3618867358023503,1.2728978683353045,0.1477740862850003,1.2823210825567708,0.7049245690410595,0.6333333333333333,0.1791245972221196,256,676,True,results_fact_aug.csv,2x4 factorial
cons,fireprot_le500,3205,408,0.4596636248233499,0.4261200014125146,0.9686684659316748,1.4307873864087617,1.4581126069860295,-0.1129037459572849,1.4640759007113624,0.6151102021072999,0.4333333333333333,0.128094266878371,14,377,True,results_fp_cons.csv,FireProt + conservation
cw,fireprot_le500,3205,408,0.6724177012119374,0.6946054865201774,0.7524649085957352,1.1858824573351745,1.1660795938975408,0.1337647483838111,1.1800304726085926,0.7695351111484994,0.4333333333333333,0.140803739866062,256,333,True,results_farctrl.csv,far-shell control
cw+cons,fireprot_le500,3205,408,0.6705349499637677,0.6860282620382595,0.7673385874739161,1.189916096591953,1.306730152814805,0.1066035689387527,1.3154081126015096,0.7557125281288776,0.4,0.1175476822607872,270,432,True,results_fp_cons.csv,FireProt + conservation
cw+far,fireprot_le500,3205,408,0.6526253604220652,0.68846806153426,0.8194990915988901,1.2708218700975225,1.1537211518074089,0.1071347324387372,1.1644500869400751,0.772824700133897,0.6333333333333333,0.180136537340637,512,657,True,results_fact_aug.csv,2x4 factorial
dz,fireprot_le500,3205,408,0.6567229941128708,0.6787450407700489,0.8238683553461414,1.26205250831254,1.2470871438263622,0.0853513735635604,1.2531919445386537,0.7610508808457241,0.6,0.1868553950778695,256,832,True,results_fact_aug.csv,2x4 factorial
far,fireprot_le500,3205,408,0.592786443645921,0.6273972054215716,0.8852796533159834,1.35696926379558,1.188702567873433,0.0470354071578386,1.203004996849386,0.7381657167693677,0.6333333333333333,0.1556853762158125,256,358,True,results_farctrl.csv,far-shell control
base,s669,541,69,0.3807699332117232,0.3709583699830549,1.15629253805454,1.5430376761335445,2.5012799321182904,0.1176771690421653,2.5012799321182904,0.679900515843773,0.2333333333333333,0.2838501750002115,256,170,False,results_s669_base.csv,S669 concat cell
cw,s669,541,69,0.4869205714743013,0.5009080135676394,1.0013139852213973,1.419331980369429,2.220635737476436,-0.0802668312522426,2.2245928155843497,0.6737902235323017,0.4666666666666667,0.4084304563681997,256,167,False,results_s669_locality.csv,S669 replication
diag,s669,541,69,0.5569911137117833,0.5687257300052354,0.9767799808194656,1.3570048471066511,2.082001762630947,0.0818385406073639,2.082001762630947,0.7053242446573323,0.4333333333333333,0.3643489209862652,128,109,False,results_onehot_s669.csv,substitution-identity control
dz,s669,541,69,0.5413118977920119,0.5518803784690514,1.0505670309635138,1.4251709167152975,1.9379420778200416,0.0765568661465492,1.9379420778200416,0.7005035617784329,0.5333333333333333,0.3604436315691253,256,136,False,results_s669_locality.csv,S669 replication
dz_cw,s669,541,69,0.547461085725191,0.5647315620263811,0.9602046679025636,1.3653538797212037,2.056897541023776,-0.022278066324336,2.056897541023776,0.7105133873741096,0.5,0.433531173968158,256,157,False,results_s669_locality.csv,S669 replication
far,s669,541,69,0.3451654859625656,0.3452155700837436,1.1554980207882302,1.5463749922222034,2.5261248666780003,0.072188976194526,2.5261248666780003,0.6260132645541635,0.2666666666666666,0.3124180778655739,256,188,False,results_s669_locality.csv,S669 replication
onehot,s669,541,69,0.2945851345756752,0.3685121184365821,1.142595318275191,1.569127094884725,2.314433073216723,-0.1316592929323566,2.314433073216723,0.58783161385409,0.2666666666666666,0.1309872763155442,40,85,False,results_onehot_s669.csv,substitution-identity control
all,s669,541,69,0.5272929732481317,0.5445144118226086,1.0521465359276303,1.4333267694215976,1.9167447240810704,0.0197377453898957,1.9220275416879795,0.7144436256448048,0.5333333333333333,0.4528498299351023,562,560,True,results_transfer.csv,S669 predictions persisted
base,s669,541,69,0.4367337710146901,0.4743443561414984,1.159547159068115,1.5540693815571234,1.888325310652114,-0.0301366130999426,1.888325310652114,0.6766150822893638,0.4333333333333333,0.4326908553916765,256,278,True,results_transfer.csv,S669 predictions persisted
base+bio,s669,541,69,0.4248994985347018,0.4685177531416442,1.2697476033077737,1.656319026438111,1.631140091275553,-0.0484854060364753,1.639926133670932,0.646063620732007,0.2,0.2262023469039392,297,377,True,results.csv,"items 1-2, concat-baseline era"
base+bio_nox,s669,541,69,0.3957923917795051,0.3889740744283025,1.2505055358635222,1.6437705607404576,1.7074363396122798,-0.002777904906726,1.7106435080970466,0.6265352493244903,0.2,0.2356303239639568,285,368,True,results.csv,"items 1-2, concat-baseline era"
base+cons,s669,541,69,0.4793509684012948,0.5069317784967751,1.1736614035690869,1.5571303515495758,1.753781796057193,0.1091789731104046,1.753781796057193,0.7093773028739868,0.4,0.4412622322159918,270,334,True,results_cons.csv,item 3
base+cw,s669,541,69,0.5141770609264483,0.5439192503270687,1.1010045105963593,1.4861162419239993,1.8029561883994436,-0.0485767844873544,1.8105488190235624,0.7229796118889709,0.4333333333333333,0.427061364772192,512,528,True,results.csv,"items 1-2, concat-baseline era"
base+cw+bio,s669,541,69,0.4844346347019087,0.5151204594708421,1.1158296035687645,1.5076566859227143,1.7511560307786185,0.021090146462907,1.759123539521681,0.7236244166052568,0.5333333333333333,0.4804654407428236,553,466,True,results.csv,"items 1-2, concat-baseline era"
base+cw+bio_t,s669,541,69,0.5106231199559985,0.5374434491391595,1.1050459185874102,1.4849913438334537,1.824172845701439,0.0007310276070331,1.833120002720239,0.7006263817243921,0.4666666666666667,0.4406411457173773,548,452,True,results_bio_t.csv,item 2 follow-up
bio,s669,541,69,0.0144076432270978,0.066603292930079,1.3912840762091685,1.8313426958827577,1.9156192506006533,-0.1726321694008842,1.9156192506006533,0.464873495455662,0.1333333333333333,0.0501568490260141,41,213,True,results.csv,"items 1-2, concat-baseline era"
cons,s669,541,69,0.4064817010680756,0.4109286217675016,1.1336571302803915,1.5167818649301628,2.035379080231205,0.0179832791330161,2.035379080231205,0.6495332842053548,0.4333333333333333,0.4016582727940241,14,301,True,results_cons.csv,item 3
cw,s669,541,69,0.5188253360479432,0.5309551429663065,0.999291110887296,1.4053017769597484,1.898384632517201,-0.1193768082285174,1.9131767318265056,0.7084868582657824,0.5,0.4243316940952167,256,269,True,results_transfer.csv,S669 predictions persisted
cw+bio_t,s669,541,69,0.5239261651055749,0.5418753294849427,0.98974102093997,1.4019493871930115,1.9045115146235057,-0.065865587393689,1.9209880437775089,0.7038811102923115,0.4666666666666667,0.4000342366970861,292,249,True,results_bio_t.csv,item 2 follow-up
cw+cons,s669,541,69,0.532277706929211,0.5451241624672497,0.9728366998020376,1.3815398657386009,2.0094611452447206,-0.0868460797155411,2.0120967730498966,0.7173913043478262,0.5333333333333333,0.4560256585729535,270,291,True,results_transfer.csv,S669 predictions persisted
cw+far,s669,541,69,0.4821284833811527,0.5130020392335657,1.1118837133315045,1.491558304242741,1.904080577940985,-0.0808699290280449,1.9132605696276124,0.6765536723163842,0.4333333333333333,0.3938894081709283,512,471,True,results.csv,"items 1-2, concat-baseline era"
base,tsu_oof,12359,535,0.8008751280098767,0.7767879915817291,0.440792378385142,0.6086726108126447,0.738745469637799,0.2190360023885612,0.7500522797402193,0.8402744931898372,0.7666666666666667,0.5648117016257652,256,170,False,results_s669_base.csv,S669 concat cell
base+diag,tsu_oof,12359,535,0.788064634177665,0.7874554160210641,0.4329682013823827,0.6296203571587228,0.7061986793152575,0.2436357538151936,0.7192091500302867,0.8535207972379953,0.7666666666666667,0.5060691171751479,384,220,False,results_locality.csv,locality decomposition
cw,tsu_oof,12359,535,0.7925637231207413,0.7652693007111878,0.4506926547378087,0.619843547599617,0.7695988068913785,0.1579973700749638,0.7770807195161362,0.8321759639826489,0.8,0.5460895822700649,256,167,False,results_s669_locality.csv,S669 replication
cw+far,tsu_oof,12359,535,0.7839949233310037,0.7781227083123752,0.4422152025511816,0.6331201587022585,0.7393004095479406,0.1630997851235265,0.7499039836586331,0.8424055935654395,0.8333333333333334,0.5715315985315089,512,274,False,results_fact_noaug.csv,2x4 factorial
diag,tsu_oof,12359,535,0.7749717656667681,0.7570742878536553,0.4664521612268447,0.6424835891377012,0.7985145267557795,0.2162821041281045,0.7998879445077766,0.8353854982105144,0.5,0.3652327670992815,128,108,False,results_onehot_fp.csv,substitution-identity control
dz,tsu_oof,12359,535,0.7921605003163971,0.7767170967172002,0.4462077803025097,0.6201440939163734,0.7343928785975982,0.2515519378848694,0.7406692426434038,0.8587963021511767,0.6666666666666666,0.4181074656023261,256,136,False,results_s669_locality.csv,S669 replication
dz_cw,tsu_oof,12359,535,0.7911639673410404,0.773389094150447,0.4493784244221245,0.6216085312142273,0.7555291936527767,0.2090353911425755,0.7600276522476208,0.8474686365763282,0.7,0.4205870367831176,256,157,False,results_s669_locality.csv,S669 replication
far,tsu_oof,12359,535,0.7401346682913331,0.7684485487298985,0.4515206338027066,0.692747462944226,0.7930867729596806,0.1995457188487887,0.802460735466627,0.8316500259254107,0.7333333333333333,0.4291483047393623,256,188,False,results_s669_locality.csv,S669 replication
onehot,tsu_oof,12359,535,0.5046957012984297,0.4781214766611629,0.6550026952921439,0.877166592130674,1.2367717047020272,0.0034821199143589,1.2367717047020272,0.6901307178177127,0.1,0.1058517251853301,40,93,False,results_onehot_fp.csv,substitution-identity control
