config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
base,tsu_oof,12359,535,0.7989925779487783,0.7758701544011274,0.44192348629030836,0.6148744709246861,0.6132534024341172,0.26813598185696524,0.6628702671869586,0.8537797351814147,0.7333333333333333,0.4684259264056051,256,1455
base,s669,541,69,0.4367337710146901,0.47434435614149845,1.159547159068115,1.5540693815571234,1.888325310652114,-0.030136613099942634,1.888325310652114,0.6766150822893638,0.43333333333333335,0.43269085539167657,256,1455
cw,tsu_oof,12359,535,0.7948536600825095,0.765683085142809,0.45419962267583314,0.6250383269544703,0.5629176297328538,0.24494828702230736,0.629378063090171,0.8555538869146232,0.7666666666666667,0.5273811299167231,256,290
cw,s669,541,69,0.5188253360479432,0.5309551429663065,0.999291110887296,1.4053017769597484,1.898384632517201,-0.11937680822851746,1.9131767318265058,0.7084868582657824,0.5,0.4243316940952167,256,290
cons,tsu_oof,12359,535,0.5462153418509398,0.4778821692930041,0.6347561417791372,0.853381866180498,1.26347984263632,-0.06672948917075862,1.2725005874039736,0.5979665941598271,0.43333333333333335,0.23283277205780667,14,301
cons,s669,541,69,0.4064817010680756,0.4109286217675016,1.1336571302803915,1.5167818649301628,2.0353790802312055,0.017983279133016103,2.0353790802312055,0.6495332842053548,0.43333333333333335,0.40165827279402416,14,301
base+cons,tsu_oof,12359,535,0.7315580702569231,0.7765105083831091,0.44289771869264216,0.7128637387701896,0.6777818350282144,0.1992752033176551,0.7150830494681353,0.8520561696154186,0.8333333333333334,0.530569863532984,270,334
base+cons,s669,541,69,0.4793509684012948,0.5069317784967751,1.1736614035690867,1.5571303515495758,1.753781796057193,0.10917897311040467,1.753781796057193,0.7093773028739868,0.4,0.44126223221599187,270,334
cw+cons,tsu_oof,12359,535,0.7987353261080241,0.7721048691361915,0.44377219484262337,0.6116202469528995,0.6906295386886317,0.21612419891511675,0.7253794477376498,0.8504641280841753,0.8666666666666667,0.589590248564197,270,313
cw+cons,s669,541,69,0.532277706929211,0.5451241624672497,0.9728366998020376,1.3815398657386009,2.0094611452447206,-0.08684607971554116,2.0120967730498966,0.7173913043478262,0.5333333333333333,0.4560256585729535,270,313
all,tsu_oof,12359,535,0.7991537862333488,0.7900586465566571,0.4318140137338089,0.6123519508446642,0.6540377181112071,0.21936866126158036,0.6893769511278263,0.8637689223881729,0.7333333333333333,0.4925789892224309,562,527
all,s669,541,69,0.5272929732481317,0.5445144118226086,1.0521465359276303,1.4333267694215976,1.9167447240810702,0.019737745389895724,1.9220275416879795,0.7144436256448048,0.5333333333333333,0.4528498299351023,562,527
