config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
diag,tsu_oof,12359,535,0.7749717656667681,0.7570742878536553,0.4664521612268447,0.6424835891377012,0.7985145267557795,0.21628210412810459,0.7998879445077766,0.8353854982105144,0.5,0.36523276709928154,128,102
diag,s669,541,69,0.5569911137117833,0.5687257300052354,0.9767799808194656,1.3570048471066511,2.082001762630947,0.08183854060736394,2.082001762630947,0.7053242446573323,0.43333333333333335,0.36434892098626526,128,102
dz,tsu_oof,12359,535,0.7921605003163971,0.7767170967172002,0.4462077803025097,0.6201440939163734,0.7343928785975982,0.2515519378848694,0.7406692426434038,0.8587963021511767,0.6666666666666666,0.4181074656023261,256,136
dz,s669,541,69,0.5413118977920119,0.5518803784690514,1.0505670309635138,1.4251709167152977,1.9379420778200416,0.07655686614654923,1.9379420778200416,0.7005035617784329,0.5333333333333333,0.36044363156912534,256,136
dz_cw,tsu_oof,12359,535,0.7911639673410404,0.773389094150447,0.4493784244221245,0.6216085312142273,0.7555291936527767,0.2090353911425755,0.7600276522476208,0.8474686365763282,0.7,0.42058703678311765,256,157
dz_cw,s669,541,69,0.547461085725191,0.5647315620263811,0.9602046679025636,1.3653538797212035,2.0568975410237758,-0.022278066324336,2.0568975410237758,0.7105133873741096,0.5,0.433531173968158,256,157
cw,tsu_oof,12359,535,0.7925637231207413,0.7652693007111878,0.45069265473780873,0.619843547599617,0.7695988068913785,0.1579973700749638,0.7770807195161362,0.8321759639826489,0.8,0.5460895822700649,256,167
cw,s669,541,69,0.48692057147430134,0.5009080135676394,1.0013139852213973,1.4193319803694293,2.2206357374764356,-0.08026683125224261,2.2245928155843497,0.6737902235323017,0.4666666666666667,0.4084304563681997,256,167
far,tsu_oof,12359,535,0.7401346682913331,0.7684485487298985,0.4515206338027066,0.692747462944226,0.7930867729596806,0.19954571884878872,0.802460735466627,0.8316500259254107,0.7333333333333333,0.4291483047393623,256,188
far,s669,541,69,0.3451654859625656,0.3452155700837436,1.1554980207882302,1.5463749922222034,2.5261248666780003,0.07218897619452602,2.5261248666780003,0.6260132645541635,0.26666666666666666,0.3124180778655739,256,188
