dataset,protein,n,rho_rosetta,rho_gemme,rho_boltz_A_tsuboyama,rho_boltz_B_fireprot,rho_boltz_D_finetuned,rho_boltz_mean
008_CALM1_growth_abundance,CALM1,1813,-0.07601086822006933,0.13004656138125265,-0.12617391629288252,-0.11937540811050108,-0.11552713162738204,-0.1255090180704649
999_GAL4_DMS,GAL4,1196,-0.18191689817797738,0.6808937958101666,-0.34589914424465323,-0.3515406181032407,-0.3674939717719032,-0.37279198752538273
999_GmR_DMS,GmR,1929,-0.30704819030110075,0.5561547866840149,-0.44002253406037123,-0.43524331030986,-0.4700518049745937,-0.475662693071603
999_HRas_DMS,HRas,3135,-0.30673105656950694,0.36888052721174364,-0.3105918072203602,-0.29637509308087506,-0.2873324308782764,-0.30956223895701496
999_IF-1_DMS,IF-1,1368,-0.3009353683253485,0.5590829545324137,-0.3047674939201173,-0.3110558962426,-0.3125364427629389,-0.32443302506153876
004_NUDT15_drug_sensitivity_reordered,NUDT15,2934,-0.2702143488590801,0.553524040202541,-0.41750121513362726,-0.3524473234359649,-0.4365322720625678,-0.44324882099994456
005_NUDT15_abundance_reordered,NUDT15,2922,-0.5309279240751381,0.3579408140925186,-0.6459265955847778,-0.5492561957619376,-0.6577519873725335,-0.6684398199507259
021_PAB1_doxycyclin_sensitivity,PAB1,1188,-0.2672329682692439,0.5681171605999205,-0.4947890783881511,-0.3921775438666416,-0.4539042829839055,-0.45919153868750345
009_SUMO1_growth_abundance,SUMO1,1700,-0.4151459269778174,0.4997189957581685,-0.4488641707854854,-0.520963007050094,-0.4890034152871577,-0.5049794484968577
010_UBE2I_growth_abundance,UBE2I,2563,-0.3651831564545717,0.4622565743249792,-0.39064486420201794,-0.39029640033502216,-0.4163833304572263,-0.41685457820786265
022_UBI4_dextrose_growth_competition,UBI4,1195,-0.3008028557333576,0.42981385608928585,-0.20009313878606944,-0.1865671769219471,-0.20677831661633433,-0.19769307852376722
037_UBI4_E1_binding_limiting_E1,UBI4,1380,-0.43794604417992516,0.49731996338434076,-0.33820679296358475,-0.3396905121490035,-0.3433933767773913,-0.34382226426520146
999_ccdB_DMS,ccdB,1176,-0.289732278386912,0.38447466614078735,-0.34258037079073517,-0.31259958249948383,-0.33638993389813276,-0.3415665729345824
