dataset,protein,spearman_theirs,spearman_ours,delta
022_UBI4_dextrose_growth_competition,UBI4,0.42708402953229313,0.46910886521426864,0.042024835681975514
008_CALM1_growth_abundance,CALM1,0.14847731109567922,0.1531881849567027,0.004710873861023479
005_NUDT15_abundance_reordered,NUDT15,0.4416704382101548,0.4371399044048882,-0.004530533805266579
999_GmR_DMS,GmR,0.5895449453582576,0.5720694980111165,-0.017475447347141126
009_SUMO1_growth_abundance,SUMO1,0.5022288581640516,0.5350359908716085,0.03280713270755686
999_IF-1_DMS,IF-1,0.5328757929268035,0.5591850604710531,0.02630926754424956
999_HRas_DMS,HRas,0.4293234316238764,0.44009430257448984,0.010770870950613465
037_UBI4_E1_binding_limiting_E1,UBI4,0.47705646028633947,0.5035895679010902,0.02653310761475075
999_GAL4_DMS,GAL4,0.6327374817953482,0.6255439123980683,-0.007193569397279886
010_UBE2I_growth_abundance,UBE2I,0.5141126358132411,0.5095757324241,-0.004536903389141034
004_NUDT15_drug_sensitivity_reordered,NUDT15,0.5569190259495802,0.587415176828501,0.03049615087892077
021_PAB1_doxycyclin_sensitivity,PAB1,0.6213769791034802,0.6543720000657156,0.03299502096223539
999_ccdB_DMS,ccdB,0.45305568824415743,0.44959188212308726,-0.0034638061210701676
