dataset,protein,n,rho_rosetta,rho_gemme,rho_boltz_A_tsuboyama,rho_boltz_B_fireprot,rho_boltz_D_finetuned,rho_boltz_mean
008_CALM1_growth_abundance,CALM1,1770,-0.07897038175712363,0.13337473524994806,-0.12415612761288052,-0.11925398035143282,-0.1142526310947988,-0.12436119354368232
999_GAL4_DMS,GAL4,1167,-0.18241529661393432,0.6773079129059418,-0.34627757196104175,-0.3544905844002679,-0.368578013972558,-0.3746022382597731
999_GmR_DMS,GmR,1881,-0.3050910847515235,0.5600330997224353,-0.43938501885398873,-0.43768436737519606,-0.4716016714368955,-0.47661542100556
999_HRas_DMS,HRas,3053,-0.30712402478420775,0.368595640267211,-0.3092932456650291,-0.2947430301238383,-0.2846451139707887,-0.3074492823186369
999_IF-1_DMS,IF-1,1337,-0.30648031972253537,0.56107355126488,-0.312826559420249,-0.314815828407569,-0.3209056186083261,-0.3310905349335047
004_NUDT15_drug_sensitivity_reordered,NUDT15,2858,-0.26897676056486897,0.5534734970643117,-0.4171100898622026,-0.3497578706632773,-0.4364606242607288,-0.44094988463626866
005_NUDT15_abundance_reordered,NUDT15,2847,-0.5289711764033953,0.3579857824237701,-0.6468319538723012,-0.5505887144368312,-0.6595430098792806,-0.6704015343777698
021_PAB1_doxycyclin_sensitivity,PAB1,1164,-0.27315058458557595,0.5667110274586301,-0.49699902658603523,-0.393074953906298,-0.4556559019231945,-0.46099479474442256
009_SUMO1_growth_abundance,SUMO1,1657,-0.4226776865615887,0.49810302752182184,-0.44794801720751853,-0.5217488949411596,-0.48911718332932996,-0.5049131371985311
010_UBE2I_growth_abundance,UBE2I,2507,-0.3640897753061537,0.4595912225023322,-0.3876466328635059,-0.3842343479994062,-0.4136230513663241,-0.4122854798410567
022_UBI4_dextrose_growth_competition,UBI4,1164,-0.2970977389670336,0.42991640093193884,-0.20120758784125434,-0.182961238007631,-0.20464945136904447,-0.19565634228398285
037_UBI4_E1_binding_limiting_E1,UBI4,1345,-0.44016578403117484,0.49458958342529563,-0.3440011031028064,-0.33793536642660993,-0.34577740100125964,-0.34563894040443127
999_ccdB_DMS,ccdB,1141,-0.28899212660154333,0.38846425483279107,-0.3378373050827776,-0.3101088793314376,-0.3310145014225959,-0.33759302102959216
