corpus,config,r,r_lo,r_hi,rho,rho_lo,rho_hi
s669,diag,0.5569911137117839,0.38449154493150695,0.7044891472359627,0.5687257300052354,0.3740816669093839,0.7154442840726305
s669,dz_cw,0.5474610857251913,0.35858467627658286,0.7018629459940201,0.5647315620263811,0.34601989594051613,0.7188317513413036
s669,dz,0.5413118977920124,0.38361357212594,0.6845156244502698,0.5518803784690514,0.36588744961276204,0.6980517465988463
s669,cw,0.4869205714743015,0.26846811535191395,0.6866587982962563,0.5009080135676394,0.2659060328248953,0.6844232238342309
s669,base,0.3807699332117235,0.19092477378351022,0.5314594288338813,0.3709583699830549,0.1571726925982,0.5309921517267538
s669,far,0.34516548596256574,0.1638793882930919,0.5315557004717881,0.3452155700837436,0.1473490935900578,0.5229690866580854
s669,onehot,0.2945851345756752,0.10458448346131893,0.4751486317211914,0.36851211843658216,0.14998131653210134,0.5360027852914712
fireprot_le500_filtered,diag,0.6450970281482328,0.49636449590566917,0.7258109984929736,0.6569896014165004,0.5741357751815968,0.7079389929456089
fireprot_le500_filtered,dz_cw,0.6631768252380738,0.5198714686086132,0.7392547465563645,0.6873387101177527,0.6099124454063972,0.7316325105661745
fireprot_le500_filtered,dz,0.6468266303365472,0.5041777456035692,0.7226806446071489,0.6587081984402781,0.592966968584537,0.7036272824066664
fireprot_le500_filtered,cw,0.6549724285796807,0.5117926059290735,0.7285589157582945,0.6672464204045803,0.589286241419458,0.7094595246204091
fireprot_le500_filtered,base,0.4690408879849989,0.412338159256633,0.6105658798137404,0.40361867962839526,0.34272579077672055,0.6110169365347763
fireprot_le500_filtered,far,0.5935588486929836,0.4823080262835006,0.6629727319500455,0.6253696437414271,0.5741126449371414,0.6778420049761593
fireprot_le500_filtered,onehot,0.37969549978381967,0.24396608443303544,0.4642923772374598,0.36611265618259003,0.2707564652280284,0.43452109068072947
