subset,model,n,r,rho,rmse,mae
all scored,AFToolkit SVM,2899,0.6770277258062365,0.7056843742387707,1.2207556755624267,0.7721911084655113
all scored,ours: diag,2899,0.6531025893877875,0.6712226531052615,1.2337364078337578,0.8054475434393057
all scored,ours: dz_cw,2899,0.6679109744447376,0.6960072461550427,1.215740563455059,0.7800931809009722
all scored,ours: dz,2899,0.6502386886023621,0.6683415626341463,1.294167886809002,0.8430773495384285
all scored,ours: cw,2899,0.6604700700824396,0.6765490349759644,1.2204088526457664,0.7941254663221532
all scored,ours: base,2899,0.46982141742721073,0.41015846428934727,1.4439442955763275,1.0475012247399615
AFToolkit HAS trained on these proteins,AFToolkit SVM,1726,0.7414327460458902,0.7549741900309661,1.120536367960876,0.7347459585821814
AFToolkit HAS trained on these proteins,ours: diag,1726,0.6934864865072343,0.6915416437321454,1.1834304966074023,0.820471236146566
AFToolkit HAS trained on these proteins,ours: dz_cw,1726,0.7131842253760277,0.715575119698338,1.1562101349259999,0.7939250389888421
AFToolkit HAS trained on these proteins,ours: dz,1726,0.6865402351624189,0.6880123130705936,1.246502688280938,0.8505654909508156
AFToolkit HAS trained on these proteins,ours: cw,1726,0.7018413169743556,0.6914920987757632,1.174280817487412,0.8169347216440903
AFToolkit HAS trained on these proteins,ours: base,1726,0.47197881424730764,0.3781091208911167,1.511078347224577,1.1950705514321447
blind to both methods,AFToolkit SVM,1173,0.5917133331039596,0.6332791027103238,1.354808917194089,0.8272894279016817
blind to both methods,ours: diag,1173,0.6027139382681426,0.6638112242487912,1.3042352004554534,0.7833410697711628
blind to both methods,ours: dz_cw,1173,0.6071776851147064,0.6848085459076414,1.298382578930899,0.7597404212593156
blind to both methods,ours: dz,1173,0.6038670593869875,0.6653640634174407,1.3612730440180192,0.8320589931208835
blind to both methods,ours: cw,1173,0.6008295185811786,0.6701629505027408,1.2852768341130223,0.7605629985594394
blind to both methods,ours: base,1173,0.5625281158189847,0.6293008332055908,1.339054451502635,0.8303617039635696
