corpus,config,n,n_prot,r,rho,rmse,mae,auc_stab,mcc_stab,per_prot_median_r,n_prot_scored
s669,diag,541,62,0.5569911137117839,0.5687257300052354,1.3570048471066511,0.9767799808194656,0.7510439360929557,0.30075907143687636,0.6063887793202528,37
s669,dz_cw,541,62,0.5474610857251913,0.5647315620263811,1.3653538797212035,0.9602046679025636,0.7529139433551197,0.27079278173398785,0.6212789418179402,37
s669,dz,541,62,0.5413118977920124,0.5518803784690514,1.4251709167152977,1.0505670309635138,0.7384803921568628,0.29186509796512705,0.5789831258880944,37
s669,cw,541,62,0.4869205714743015,0.5009080135676394,1.4193319803694293,1.0013139852213973,0.7132806826434278,0.2963671087810867,0.6664926877317401,37
s669,base,541,62,0.3807699332117235,0.3709583699830549,1.5430376761335445,1.15629253805454,0.6739560639070444,0.17354802282940707,0.45848810926862515,37
s669,far,541,62,0.34516548596256574,0.3452155700837436,1.5463749922222034,1.1554980207882302,0.6313271604938272,0.20135168912687904,0.4105942801841157,37
s669,onehot,541,62,0.2945851345756752,0.36851211843658216,1.569127094884725,1.1425953182751905,0.6460421205519244,0.049461601185346114,0.14532888402096,37
fireprot_le500_filtered,diag,3102,130,0.6450970281482328,0.6569896014165004,1.2354232212349274,0.8109838681236788,0.7925114853989821,0.31240028531271047,0.6202303409974108,96
fireprot_le500_filtered,dz_cw,3102,130,0.6631768252380738,0.6873387101177527,1.2134354956527398,0.7827564865538522,0.8143183573873112,0.34151123537421324,0.5940704586559762,96
fireprot_le500_filtered,dz,3102,130,0.6468266303365472,0.6587081984402781,1.286824633532853,0.8432207027714247,0.7913470670690187,0.3103725302136517,0.6487763385560937,96
fireprot_le500_filtered,cw,3102,130,0.6549724285796807,0.6672464204045803,1.2201504862324288,0.7986736324043325,0.8027120853821433,0.30198698613287656,0.6705015450613867,96
fireprot_le500_filtered,base,3102,130,0.4690408879849989,0.40361867962839526,1.443146587428826,1.0488896991492354,0.6175813874253653,0.15415969080707287,0.6180171937182581,96
fireprot_le500_filtered,far,3102,130,0.5935588486929836,0.6253696437414271,1.3726752361874532,0.8977695177839338,0.7821508702119143,0.328570543948867,0.6438867562167265,96
fireprot_le500_filtered,onehot,3102,130,0.37969549978381967,0.36611265618259003,1.4867113819557827,1.0446242948189286,0.6426053035439182,-0.004122360708679509,0.2731372041526061,94
fireprot_blind_to_both,diag,1265,40,0.5825372770211814,0.6349311441598778,1.3123683059694475,0.7982914620633295,0.7594036484142714,0.3215287146718612,0.6391566717856997,37
fireprot_blind_to_both,dz_cw,1265,40,0.5927607957683472,0.6621274646684581,1.3019921699687955,0.7721429244028952,0.7843703543111993,0.35619843030746323,0.5932325441534171,37
fireprot_blind_to_both,dz,1265,40,0.5920959067744936,0.6414450779879376,1.356711018506418,0.8393679352906573,0.761064482160555,0.3284489613586325,0.6420549057332263,37
fireprot_blind_to_both,cw,1265,40,0.5863206782235817,0.6501239432640117,1.2930404804669327,0.7731676625902684,0.774173067393459,0.31764548931726777,0.6227229108374104,37
fireprot_blind_to_both,base,1265,40,0.547861249562373,0.5987883405473685,1.3434611510450374,0.8430429229679529,0.750634910802775,0.23429716951246396,0.6161644443822991,37
fireprot_blind_to_both,far,1265,40,0.550267182623688,0.6053711522119003,1.4311496346024801,0.9079827885799674,0.7537359080773042,0.287071519558423,0.5461964710270387,37
fireprot_blind_to_both,onehot,1265,40,0.2663557951111086,0.2844848249017012,1.552606213340839,1.03179558211864,0.5965199919474728,0.029478999335749972,0.2731372041526061,36
